"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"03.01.2015 19:00 - 03.01.2015 19:15","11377","11229"
"03.01.2015 19:15 - 03.01.2015 19:30","11237","11125"
"03.01.2015 19:30 - 03.01.2015 19:45","11142","11118"
"03.01.2015 19:45 - 03.01.2015 20:00","11032","10920"
"03.01.2015 20:00 - 03.01.2015 20:15","10857","10859"
"03.01.2015 20:15 - 03.01.2015 20:30","10728","10777"
"03.01.2015 20:30 - 03.01.2015 20:45","10606","10676"
"03.01.2015 20:45 - 03.01.2015 21:00","10455","10454"
"03.01.2015 21:00 - 03.01.2015 21:15","10412","10416"
"03.01.2015 21:15 - 03.01.2015 21:30","10304","10298"
"03.01.2015 21:30 - 03.01.2015 21:45","10236","10166"
"03.01.2015 21:45 - 03.01.2015 22:00","10124","10048"
"03.01.2015 22:00 - 03.01.2015 22:15","10280","10240"
"03.01.2015 22:15 - 03.01.2015 22:30","10500","10492"
"03.01.2015 22:30 - 03.01.2015 22:45","10561","10486"
"03.01.2015 22:45 - 03.01.2015 23:00","10514","10483"
"03.01.2015 23:00 - 03.01.2015 23:15","10745","10649"
"03.01.2015 23:15 - 03.01.2015 23:30","10664","10488"
"03.01.2015 23:30 - 03.01.2015 23:45","10568","10310"
"03.01.2015 23:45 - 04.01.2015 00:00","10442","10239"
"04.01.2015 00:00 - 04.01.2015 00:15","10281","10208"
"04.01.2015 00:15 - 04.01.2015 00:30","10136","9929"
"04.01.2015 00:30 - 04.01.2015 00:45","9938","9877"
"04.01.2015 00:45 - 04.01.2015 01:00","9796","9750"
"04.01.2015 01:00 - 04.01.2015 01:15","9250","9643"
"04.01.2015 01:15 - 04.01.2015 01:30","9109","9489"
"04.01.2015 01:30 - 04.01.2015 01:45","8978","9347"
"04.01.2015 01:45 - 04.01.2015 02:00","8861","9307"
"04.01.2015 02:00 - 04.01.2015 02:15","8642","9205"
"04.01.2015 02:15 - 04.01.2015 02:30","8576","9001"
"04.01.2015 02:30 - 04.01.2015 02:45","8493","8909"
"04.01.2015 02:45 - 04.01.2015 03:00","8409","8925"
"04.01.2015 03:00 - 04.01.2015 03:15","8379","8790"
"04.01.2015 03:15 - 04.01.2015 03:30","8293","8784"
"04.01.2015 03:30 - 04.01.2015 03:45","8218","8735"
"04.01.2015 03:45 - 04.01.2015 04:00","8182","8590"
"04.01.2015 04:00 - 04.01.2015 04:15","8112","8657"
"04.01.2015 04:15 - 04.01.2015 04:30","8089","8583"
"04.01.2015 04:30 - 04.01.2015 04:45","8091","8570"
"04.01.2015 04:45 - 04.01.2015 05:00","8098","8554"
"04.01.2015 05:00 - 04.01.2015 05:15","8033","8479"
"04.01.2015 05:15 - 04.01.2015 05:30","8027","8494"
"04.01.2015 05:30 - 04.01.2015 05:45","8031","8475"
"04.01.2015 05:45 - 04.01.2015 06:00","8055","8531"
"04.01.2015 06:00 - 04.01.2015 06:15","8082","8589"
"04.01.2015 06:15 - 04.01.2015 06:30","8134","8575"
"04.01.2015 06:30 - 04.01.2015 06:45","8136","8658"
"04.01.2015 06:45 - 04.01.2015 07:00","8220","8679"
"04.01.2015 07:00 - 04.01.2015 07:15","8058","8725"
"04.01.2015 07:15 - 04.01.2015 07:30","8108","8643"
"04.01.2015 07:30 - 04.01.2015 07:45","8176","8884"
"04.01.2015 07:45 - 04.01.2015 08:00","8240","8798"
"04.01.2015 08:00 - 04.01.2015 08:15","8422","8938"
"04.01.2015 08:15 - 04.01.2015 08:30","8559","9031"
"04.01.2015 08:30 - 04.01.2015 08:45","8586","9064"
"04.01.2015 08:45 - 04.01.2015 09:00","8685","9184"
"04.01.2015 09:00 - 04.01.2015 09:15","8910","9376"
"04.01.2015 09:15 - 04.01.2015 09:30","9009","9598"
"04.01.2015 09:30 - 04.01.2015 09:45","9133","9612"
"04.01.2015 09:45 - 04.01.2015 10:00","9241","9761"
"04.01.2015 10:00 - 04.01.2015 10:15","9584","9838"
"04.01.2015 10:15 - 04.01.2015 10:30","9665","9962"
"04.01.2015 10:30 - 04.01.2015 10:45","9721","9991"
"04.01.2015 10:45 - 04.01.2015 11:00","9790","10134"
"04.01.2015 11:00 - 04.01.2015 11:15","9994","10327"
"04.01.2015 11:15 - 04.01.2015 11:30","10118","10360"
"04.01.2015 11:30 - 04.01.2015 11:45","10211","10533"
"04.01.2015 11:45 - 04.01.2015 12:00","10269","10515"
"04.01.2015 12:00 - 04.01.2015 12:15","10369","10613"
"04.01.2015 12:15 - 04.01.2015 12:30","10342","10588"
"04.01.2015 12:30 - 04.01.2015 12:45","10357","10699"
"04.01.2015 12:45 - 04.01.2015 13:00","10320","10577"
"04.01.2015 13:00 - 04.01.2015 13:15","10305","10565"
"04.01.2015 13:15 - 04.01.2015 13:30","10199","10406"
"04.01.2015 13:30 - 04.01.2015 13:45","10134","10366"
"04.01.2015 13:45 - 04.01.2015 14:00","10026","10227"
"04.01.2015 14:00 - 04.01.2015 14:15","9984","10131"
"04.01.2015 14:15 - 04.01.2015 14:30","9909","10197"
"04.01.2015 14:30 - 04.01.2015 14:45","9847","10183"
"04.01.2015 14:45 - 04.01.2015 15:00","9817","10045"
"04.01.2015 15:00 - 04.01.2015 15:15","9842","10081"
"04.01.2015 15:15 - 04.01.2015 15:30","9839","9981"
"04.01.2015 15:30 - 04.01.2015 15:45","9837","9964"
"04.01.2015 15:45 - 04.01.2015 16:00","9827","9979"
"04.01.2015 16:00 - 04.01.2015 16:15","9755","9865"
"04.01.2015 16:15 - 04.01.2015 16:30","9799","9921"
"04.01.2015 16:30 - 04.01.2015 16:45","9906","9945"
"04.01.2015 16:45 - 04.01.2015 17:00","10136","10067"
"04.01.2015 17:00 - 04.01.2015 17:15","10500","10475"
"04.01.2015 17:15 - 04.01.2015 17:30","10663","10791"
"04.01.2015 17:30 - 04.01.2015 17:45","10776","11040"
"04.01.2015 17:45 - 04.01.2015 18:00","10871","11184"
"04.01.2015 18:00 - 04.01.2015 18:15","11070","11262"
"04.01.2015 18:15 - 04.01.2015 18:30","11059","11355"
"04.01.2015 18:30 - 04.01.2015 18:45","11036","11380"
"04.01.2015 18:45 - 04.01.2015 19:00","11009","11422"
"04.01.2015 19:00 - 04.01.2015 19:15","11044","11395"
"04.01.2015 19:15 - 04.01.2015 19:30","10993","11415"
