"Time (CET)","Day-ahead Total Load Forecast [MW] - Belgium (BE)","Actual Total Load [MW] - Belgium (BE)"
"23.07.2015 14:15 - 23.07.2015 14:30","10223","9751"
"23.07.2015 14:30 - 23.07.2015 14:45","10215","9734"
"23.07.2015 14:45 - 23.07.2015 15:00","10233","9700"
"23.07.2015 15:00 - 23.07.2015 15:15","10176","9715"
"23.07.2015 15:15 - 23.07.2015 15:30","10103","9731"
"23.07.2015 15:30 - 23.07.2015 15:45","10070","9692"
"23.07.2015 15:45 - 23.07.2015 16:00","10095","9636"
"23.07.2015 16:00 - 23.07.2015 16:15","10044","9632"
"23.07.2015 16:15 - 23.07.2015 16:30","10018","9564"
"23.07.2015 16:30 - 23.07.2015 16:45","10003","9530"
"23.07.2015 16:45 - 23.07.2015 17:00","9963","9568"
"23.07.2015 17:00 - 23.07.2015 17:15","9922","9584"
"23.07.2015 17:15 - 23.07.2015 17:30","9961","9537"
"23.07.2015 17:30 - 23.07.2015 17:45","9986","9608"
"23.07.2015 17:45 - 23.07.2015 18:00","9989","9584"
"23.07.2015 18:00 - 23.07.2015 18:15","9882","9501"
"23.07.2015 18:15 - 23.07.2015 18:30","9848","9442"
"23.07.2015 18:30 - 23.07.2015 18:45","9748","9340"
"23.07.2015 18:45 - 23.07.2015 19:00","9676","9301"
"23.07.2015 19:00 - 23.07.2015 19:15","9568","9150"
"23.07.2015 19:15 - 23.07.2015 19:30","9457","9051"
"23.07.2015 19:30 - 23.07.2015 19:45","9417","8976"
"23.07.2015 19:45 - 23.07.2015 20:00","9359","8955"
"23.07.2015 20:00 - 23.07.2015 20:15","9243","8941"
"23.07.2015 20:15 - 23.07.2015 20:30","9167","8819"
"23.07.2015 20:30 - 23.07.2015 20:45","9090","8736"
"23.07.2015 20:45 - 23.07.2015 21:00","9027","8633"
"23.07.2015 21:00 - 23.07.2015 21:15","8987","8622"
"23.07.2015 21:15 - 23.07.2015 21:30","8982","8586"
"23.07.2015 21:30 - 23.07.2015 21:45","8960","8605"
"23.07.2015 21:45 - 23.07.2015 22:00","8954","8650"
"23.07.2015 22:00 - 23.07.2015 22:15","9123","9001"
"23.07.2015 22:15 - 23.07.2015 22:30","9304","9203"
"23.07.2015 22:30 - 23.07.2015 22:45","9354","9130"
"23.07.2015 22:45 - 23.07.2015 23:00","9281","9108"
"23.07.2015 23:00 - 23.07.2015 23:15","9275","8997"
"23.07.2015 23:15 - 23.07.2015 23:30","9100","8840"
"23.07.2015 23:30 - 23.07.2015 23:45","8920","8618"
"23.07.2015 23:45 - 24.07.2015 00:00","8786","8557"
"24.07.2015 00:00 - 24.07.2015 00:15","8566","8371"
"24.07.2015 00:15 - 24.07.2015 00:30","8410","8210"
"24.07.2015 00:30 - 24.07.2015 00:45","8258","8083"
"24.07.2015 00:45 - 24.07.2015 01:00","8175","8017"
"24.07.2015 01:00 - 24.07.2015 01:15","8114","7960"
"24.07.2015 01:15 - 24.07.2015 01:30","8019","7899"
"24.07.2015 01:30 - 24.07.2015 01:45","7936","7779"
"24.07.2015 01:45 - 24.07.2015 02:00","7848","7761"
"24.07.2015 02:00 - 24.07.2015 02:15","7789","7689"
"24.07.2015 02:15 - 24.07.2015 02:30","7748","7642"
"24.07.2015 02:30 - 24.07.2015 02:45","7737","7565"
"24.07.2015 02:45 - 24.07.2015 03:00","7702","7560"
"24.07.2015 03:00 - 24.07.2015 03:15","7671","7515"
"24.07.2015 03:15 - 24.07.2015 03:30","7661","7538"
"24.07.2015 03:30 - 24.07.2015 03:45","7635","7459"
"24.07.2015 03:45 - 24.07.2015 04:00","7644","7408"
"24.07.2015 04:00 - 24.07.2015 04:15","7607","7465"
"24.07.2015 04:15 - 24.07.2015 04:30","7643","7526"
"24.07.2015 04:30 - 24.07.2015 04:45","7652","7511"
"24.07.2015 04:45 - 24.07.2015 05:00","7712","7543"
"24.07.2015 05:00 - 24.07.2015 05:15","7713","7617"
"24.07.2015 05:15 - 24.07.2015 05:30","7737","7661"
"24.07.2015 05:30 - 24.07.2015 05:45","7730","7800"
"24.07.2015 05:45 - 24.07.2015 06:00","7781","7798"
"24.07.2015 06:00 - 24.07.2015 06:15","8027","7875"
"24.07.2015 06:15 - 24.07.2015 06:30","8200","8141"
"24.07.2015 06:30 - 24.07.2015 06:45","8367","8263"
"24.07.2015 06:45 - 24.07.2015 07:00","8508","8329"
"24.07.2015 07:00 - 24.07.2015 07:15","8769","8452"
"24.07.2015 07:15 - 24.07.2015 07:30","8982","8686"
"24.07.2015 07:30 - 24.07.2015 07:45","9178","8876"
"24.07.2015 07:45 - 24.07.2015 08:00","9327","9010"
"24.07.2015 08:00 - 24.07.2015 08:15","9426","9118"
"24.07.2015 08:15 - 24.07.2015 08:30","9569","9264"
"24.07.2015 08:30 - 24.07.2015 08:45","9706","9400"
"24.07.2015 08:45 - 24.07.2015 09:00","9789","9487"
"24.07.2015 09:00 - 24.07.2015 09:15","9845","9604"
"24.07.2015 09:15 - 24.07.2015 09:30","9941","9687"
"24.07.2015 09:30 - 24.07.2015 09:45","10036","9734"
"24.07.2015 09:45 - 24.07.2015 10:00","10099","9791"
"24.07.2015 10:00 - 24.07.2015 10:15","10145","9812"
"24.07.2015 10:15 - 24.07.2015 10:30","10165","9811"
"24.07.2015 10:30 - 24.07.2015 10:45","10193","9843"
"24.07.2015 10:45 - 24.07.2015 11:00","10257","9928"
"24.07.2015 11:00 - 24.07.2015 11:15","10268","10078"
"24.07.2015 11:15 - 24.07.2015 11:30","10342","10119"
"24.07.2015 11:30 - 24.07.2015 11:45","10410","10196"
"24.07.2015 11:45 - 24.07.2015 12:00","10437","10217"
"24.07.2015 12:00 - 24.07.2015 12:15","10295","10233"
"24.07.2015 12:15 - 24.07.2015 12:30","10179","10174"
"24.07.2015 12:30 - 24.07.2015 12:45","10116","10089"
"24.07.2015 12:45 - 24.07.2015 13:00","10130","10029"
"24.07.2015 13:00 - 24.07.2015 13:15","10172","10055"
"24.07.2015 13:15 - 24.07.2015 13:30","10146","9954"
"24.07.2015 13:30 - 24.07.2015 13:45","10146","9954"
"24.07.2015 13:45 - 24.07.2015 14:00","10071","9902"
"24.07.2015 14:00 - 24.07.2015 14:15","10051","9870"
"24.07.2015 14:15 - 24.07.2015 14:30","10039","9858"
"24.07.2015 14:30 - 24.07.2015 14:45","10036","9837"
"24.07.2015 14:45 - 24.07.2015 15:00","10032","9800"
"24.07.2015 15:00 - 24.07.2015 15:15","9921","9796"
"24.07.2015 15:15 - 24.07.2015 15:30","9852","9739"
"24.07.2015 15:30 - 24.07.2015 15:45","9834","9699"
"24.07.2015 15:45 - 24.07.2015 16:00","9854","9638"
"24.07.2015 16:00 - 24.07.2015 16:15","9870","9657"
"24.07.2015 16:15 - 24.07.2015 16:30","9844","9659"
"24.07.2015 16:30 - 24.07.2015 16:45","9822","9719"
"24.07.2015 16:45 - 24.07.2015 17:00","9789","9747"
"24.07.2015 17:00 - 24.07.2015 17:15","9802","9738"
"24.07.2015 17:15 - 24.07.2015 17:30","9841","9669"
"24.07.2015 17:30 - 24.07.2015 17:45","9868","9650"
"24.07.2015 17:45 - 24.07.2015 18:00","9869","9638"
"24.07.2015 18:00 - 24.07.2015 18:15","9741","9508"
"24.07.2015 18:15 - 24.07.2015 18:30","9715","9423"
"24.07.2015 18:30 - 24.07.2015 18:45","9621","9384"
"24.07.2015 18:45 - 24.07.2015 19:00","9551","9339"
"24.07.2015 19:00 - 24.07.2015 19:15","9453","9185"
"24.07.2015 19:15 - 24.07.2015 19:30","9341","9044"
"24.07.2015 19:30 - 24.07.2015 19:45","9281","9010"
"24.07.2015 19:45 - 24.07.2015 20:00","9235","8954"
"24.07.2015 20:00 - 24.07.2015 20:15","9150","8881"
"24.07.2015 20:15 - 24.07.2015 20:30","9059","8794"
"24.07.2015 20:30 - 24.07.2015 20:45","8982","8714"
"24.07.2015 20:45 - 24.07.2015 21:00","8915","8673"
"24.07.2015 21:00 - 24.07.2015 21:15","8850","8693"
"24.07.2015 21:15 - 24.07.2015 21:30","8850","8674"
"24.07.2015 21:30 - 24.07.2015 21:45","8836","8674"
"24.07.2015 21:45 - 24.07.2015 22:00","8839","8726"
"24.07.2015 22:00 - 24.07.2015 22:15","8978","8920"
"24.07.2015 22:15 - 24.07.2015 22:30","9157","9033"
"24.07.2015 22:30 - 24.07.2015 22:45","9187","9019"
"24.07.2015 22:45 - 24.07.2015 23:00","9104","8930"
"24.07.2015 23:00 - 24.07.2015 23:15","9136","8851"
"24.07.2015 23:15 - 24.07.2015 23:30","8960","8678"
"24.07.2015 23:30 - 24.07.2015 23:45","8781","8450"
"24.07.2015 23:45 - 25.07.2015 00:00","8649","8403"
"25.07.2015 00:00 - 25.07.2015 00:15","8464","8203"
"25.07.2015 00:15 - 25.07.2015 00:30","8306","8132"
"25.07.2015 00:30 - 25.07.2015 00:45","8156","7964"
"25.07.2015 00:45 - 25.07.2015 01:00","8075","7964"
"25.07.2015 01:00 - 25.07.2015 01:15","7981","7855"
"25.07.2015 01:15 - 25.07.2015 01:30","7899","7793"
"25.07.2015 01:30 - 25.07.2015 01:45","7812","7626"
"25.07.2015 01:45 - 25.07.2015 02:00","7726","7444"
"25.07.2015 02:00 - 25.07.2015 02:15","7616","7541"
"25.07.2015 02:15 - 25.07.2015 02:30","7557","7444"
"25.07.2015 02:30 - 25.07.2015 02:45","7528","7394"
"25.07.2015 02:45 - 25.07.2015 03:00","7478","7371"
"25.07.2015 03:00 - 25.07.2015 03:15","7479","7375"
"25.07.2015 03:15 - 25.07.2015 03:30","7409","7310"
"25.07.2015 03:30 - 25.07.2015 03:45","7375","7221"
"25.07.2015 03:45 - 25.07.2015 04:00","7375","7096"
"25.07.2015 04:00 - 25.07.2015 04:15","7340","7113"
"25.07.2015 04:15 - 25.07.2015 04:30","7275","7083"
"25.07.2015 04:30 - 25.07.2015 04:45","7248","7112"
"25.07.2015 04:45 - 25.07.2015 05:00","7242","7181"
"25.07.2015 05:00 - 25.07.2015 05:15","7276","7095"
"25.07.2015 05:15 - 25.07.2015 05:30","7197","7108"
"25.07.2015 05:30 - 25.07.2015 05:45","7073","7125"
"25.07.2015 05:45 - 25.07.2015 06:00","7050","7066"
"25.07.2015 06:00 - 25.07.2015 06:15","7156","6968"
"25.07.2015 06:15 - 25.07.2015 06:30","7183","6974"
"25.07.2015 06:30 - 25.07.2015 06:45","7271","7035"
"25.07.2015 06:45 - 25.07.2015 07:00","7349","7089"
"25.07.2015 07:00 - 25.07.2015 07:15","7548","7200"
"25.07.2015 07:15 - 25.07.2015 07:30","7675","7335"
"25.07.2015 07:30 - 25.07.2015 07:45","7772","7479"
"25.07.2015 07:45 - 25.07.2015 08:00","7925","7591"
"25.07.2015 08:00 - 25.07.2015 08:15","8145","7776"
"25.07.2015 08:15 - 25.07.2015 08:30","8263","7957"
"25.07.2015 08:30 - 25.07.2015 08:45","8393","8037"
"25.07.2015 08:45 - 25.07.2015 09:00","8530","8076"
"25.07.2015 09:00 - 25.07.2015 09:15","8757","8272"
"25.07.2015 09:15 - 25.07.2015 09:30","8874","8432"
"25.07.2015 09:30 - 25.07.2015 09:45","8965","8504"
"25.07.2015 09:45 - 25.07.2015 10:00","9046","8502"
"25.07.2015 10:00 - 25.07.2015 10:15","9186","8615"
"25.07.2015 10:15 - 25.07.2015 10:30","9229","8674"
"25.07.2015 10:30 - 25.07.2015 10:45","9268","8717"
"25.07.2015 10:45 - 25.07.2015 11:00","9324","8752"
"25.07.2015 11:00 - 25.07.2015 11:15","9316","8806"
"25.07.2015 11:15 - 25.07.2015 11:30","9332","8899"
"25.07.2015 11:30 - 25.07.2015 11:45","9389","8907"
"25.07.2015 11:45 - 25.07.2015 12:00","9383","8977"
"25.07.2015 12:00 - 25.07.2015 12:15","9352","8941"
"25.07.2015 12:15 - 25.07.2015 12:30","9326","8901"
"25.07.2015 12:30 - 25.07.2015 12:45","9245","8952"
"25.07.2015 12:45 - 25.07.2015 13:00","9169","8883"
"25.07.2015 13:00 - 25.07.2015 13:15","9192","8852"
"25.07.2015 13:15 - 25.07.2015 13:30","9080","8785"
"25.07.2015 13:30 - 25.07.2015 13:45","9018","8767"
"25.07.2015 13:45 - 25.07.2015 14:00","8940","8770"
"25.07.2015 14:00 - 25.07.2015 14:15","8892","8731"
"25.07.2015 14:15 - 25.07.2015 14:30","8877","8708"
"25.07.2015 14:30 - 25.07.2015 14:45","8816","8636"
"25.07.2015 14:45 - 25.07.2015 15:00","8800","8580"
"25.07.2015 15:00 - 25.07.2015 15:15","8781","8499"
"25.07.2015 15:15 - 25.07.2015 15:30","8745","8416"
"25.07.2015 15:30 - 25.07.2015 15:45","8722","8441"
"25.07.2015 15:45 - 25.07.2015 16:00","8698","8495"
"25.07.2015 16:00 - 25.07.2015 16:15","8704","8537"
"25.07.2015 16:15 - 25.07.2015 16:30","8722","8479"
"25.07.2015 16:30 - 25.07.2015 16:45","8688","8382"
"25.07.2015 16:45 - 25.07.2015 17:00","8652","8455"
"25.07.2015 17:00 - 25.07.2015 17:15","8740","8541"
"25.07.2015 17:15 - 25.07.2015 17:30","8781","8566"
"25.07.2015 17:30 - 25.07.2015 17:45","8806","8620"
"25.07.2015 17:45 - 25.07.2015 18:00","8808","8582"
"25.07.2015 18:00 - 25.07.2015 18:15","8818","8556"
"25.07.2015 18:15 - 25.07.2015 18:30","8770","8531"
"25.07.2015 18:30 - 25.07.2015 18:45","8741","8389"
"25.07.2015 18:45 - 25.07.2015 19:00","8670","8370"
"25.07.2015 19:00 - 25.07.2015 19:15","8660","8324"
"25.07.2015 19:15 - 25.07.2015 19:30","8624","8267"
"25.07.2015 19:30 - 25.07.2015 19:45","8553","8288"
"25.07.2015 19:45 - 25.07.2015 20:00","8502","8231"
"25.07.2015 20:00 - 25.07.2015 20:15","8494","8120"
"25.07.2015 20:15 - 25.07.2015 20:30","8421","8098"
"25.07.2015 20:30 - 25.07.2015 20:45","8353","8053"
"25.07.2015 20:45 - 25.07.2015 21:00","8324","8020"
"25.07.2015 21:00 - 25.07.2015 21:15","8333","7985"
"25.07.2015 21:15 - 25.07.2015 21:30","8292","7948"
"25.07.2015 21:30 - 25.07.2015 21:45","8266","7995"
"25.07.2015 21:45 - 25.07.2015 22:00","8305","8040"
"25.07.2015 22:00 - 25.07.2015 22:15","8391","8268"
"25.07.2015 22:15 - 25.07.2015 22:30","8526","8280"
"25.07.2015 22:30 - 25.07.2015 22:45","8585","8285"
"25.07.2015 22:45 - 25.07.2015 23:00","8550","8182"
"25.07.2015 23:00 - 25.07.2015 23:15","8498","8205"
"25.07.2015 23:15 - 25.07.2015 23:30","8401","8079"
"25.07.2015 23:30 - 25.07.2015 23:45","8245","7896"
"25.07.2015 23:45 - 26.07.2015 00:00","8189","7740"
"26.07.2015 00:00 - 26.07.2015 00:15","8034","7725"
"26.07.2015 00:15 - 26.07.2015 00:30","7860","7621"
"26.07.2015 00:30 - 26.07.2015 00:45","7807","7586"
"26.07.2015 00:45 - 26.07.2015 01:00","7736","7513"
"26.07.2015 01:00 - 26.07.2015 01:15","7629","7434"
"26.07.2015 01:15 - 26.07.2015 01:30","7522","7344"
"26.07.2015 01:30 - 26.07.2015 01:45","7425","7223"
"26.07.2015 01:45 - 26.07.2015 02:00","7335","7160"
"26.07.2015 02:00 - 26.07.2015 02:15","7243","7187"
"26.07.2015 02:15 - 26.07.2015 02:30","7260","7039"
"26.07.2015 02:30 - 26.07.2015 02:45","7198","7033"
"26.07.2015 02:45 - 26.07.2015 03:00","7170","6922"
"26.07.2015 03:00 - 26.07.2015 03:15","7123","6911"
"26.07.2015 03:15 - 26.07.2015 03:30","7146","6859"
"26.07.2015 03:30 - 26.07.2015 03:45","7132","6806"
"26.07.2015 03:45 - 26.07.2015 04:00","7062","6918"
"26.07.2015 04:00 - 26.07.2015 04:15","7074","6909"
"26.07.2015 04:15 - 26.07.2015 04:30","7049","6861"
"26.07.2015 04:30 - 26.07.2015 04:45","7025","6862"
"26.07.2015 04:45 - 26.07.2015 05:00","7009","6861"
"26.07.2015 05:00 - 26.07.2015 05:15","6944","6924"
"26.07.2015 05:15 - 26.07.2015 05:30","6932","6880"
"26.07.2015 05:30 - 26.07.2015 05:45","6876","6854"
"26.07.2015 05:45 - 26.07.2015 06:00","6829","6751"
"26.07.2015 06:00 - 26.07.2015 06:15","6874","6716"
"26.07.2015 06:15 - 26.07.2015 06:30","6894","6708"
"26.07.2015 06:30 - 26.07.2015 06:45","6949","6807"
"26.07.2015 06:45 - 26.07.2015 07:00","7007","6883"
"26.07.2015 07:00 - 26.07.2015 07:15","7106","6893"
"26.07.2015 07:15 - 26.07.2015 07:30","7202","6996"
"26.07.2015 07:30 - 26.07.2015 07:45","7288","7053"
"26.07.2015 07:45 - 26.07.2015 08:00","7398","7194"
"26.07.2015 08:00 - 26.07.2015 08:15","7489","7222"
"26.07.2015 08:15 - 26.07.2015 08:30","7643","7424"
"26.07.2015 08:30 - 26.07.2015 08:45","7747","7531"
"26.07.2015 08:45 - 26.07.2015 09:00","7879","7656"
"26.07.2015 09:00 - 26.07.2015 09:15","7982","7810"
"26.07.2015 09:15 - 26.07.2015 09:30","8065","7954"
"26.07.2015 09:30 - 26.07.2015 09:45","8163","8058"
"26.07.2015 09:45 - 26.07.2015 10:00","8232","8053"
"26.07.2015 10:00 - 26.07.2015 10:15","8311","8118"
"26.07.2015 10:15 - 26.07.2015 10:30","8377","8167"
"26.07.2015 10:30 - 26.07.2015 10:45","8446","8254"
"26.07.2015 10:45 - 26.07.2015 11:00","8530","8396"
"26.07.2015 11:00 - 26.07.2015 11:15","8562","8393"
"26.07.2015 11:15 - 26.07.2015 11:30","8611","8431"
"26.07.2015 11:30 - 26.07.2015 11:45","8666","8542"
"26.07.2015 11:45 - 26.07.2015 12:00","8749","8704"
"26.07.2015 12:00 - 26.07.2015 12:15","8815","8678"
"26.07.2015 12:15 - 26.07.2015 12:30","8786","8543"
"26.07.2015 12:30 - 26.07.2015 12:45","8748","8543"
"26.07.2015 12:45 - 26.07.2015 13:00","8633","8516"
"26.07.2015 13:00 - 26.07.2015 13:15","8484","8353"
"26.07.2015 13:15 - 26.07.2015 13:30","8416","8342"
"26.07.2015 13:30 - 26.07.2015 13:45","8395","8305"
"26.07.2015 13:45 - 26.07.2015 14:00","8294","8379"
"26.07.2015 14:00 - 26.07.2015 14:15","8231","8234"
"26.07.2015 14:15 - 26.07.2015 14:30","8183","8177"
"26.07.2015 14:30 - 26.07.2015 14:45","8155","8188"
"26.07.2015 14:45 - 26.07.2015 15:00","8125","8129"
"26.07.2015 15:00 - 26.07.2015 15:15","8089","8116"
"26.07.2015 15:15 - 26.07.2015 15:30","8049","8097"
"26.07.2015 15:30 - 26.07.2015 15:45","8004","8110"
"26.07.2015 15:45 - 26.07.2015 16:00","7966","8088"
"26.07.2015 16:00 - 26.07.2015 16:15","8023","8107"
"26.07.2015 16:15 - 26.07.2015 16:30","8033","8141"
"26.07.2015 16:30 - 26.07.2015 16:45","8000","8216"
"26.07.2015 16:45 - 26.07.2015 17:00","8027","8300"
"26.07.2015 17:00 - 26.07.2015 17:15","8087","8265"
"26.07.2015 17:15 - 26.07.2015 17:30","8145","8319"
"26.07.2015 17:30 - 26.07.2015 17:45","8199","8459"
"26.07.2015 17:45 - 26.07.2015 18:00","8210","8460"
"26.07.2015 18:00 - 26.07.2015 18:15","8259","8464"
"26.07.2015 18:15 - 26.07.2015 18:30","8240","8398"
"26.07.2015 18:30 - 26.07.2015 18:45","8260","8399"
"26.07.2015 18:45 - 26.07.2015 19:00","8265","8435"
"26.07.2015 19:00 - 26.07.2015 19:15","8287","8411"
"26.07.2015 19:15 - 26.07.2015 19:30","8274","8360"
"26.07.2015 19:30 - 26.07.2015 19:45","8305","8330"
"26.07.2015 19:45 - 26.07.2015 20:00","8259","8343"
"26.07.2015 20:00 - 26.07.2015 20:15","8267","8249"
"26.07.2015 20:15 - 26.07.2015 20:30","8258","8201"
"26.07.2015 20:30 - 26.07.2015 20:45","8213","8246"
"26.07.2015 20:45 - 26.07.2015 21:00","8207","8183"
"26.07.2015 21:00 - 26.07.2015 21:15","8208","8194"
"26.07.2015 21:15 - 26.07.2015 21:30","8196","8211"
"26.07.2015 21:30 - 26.07.2015 21:45","8187","8244"
"26.07.2015 21:45 - 26.07.2015 22:00","8222","8192"
"26.07.2015 22:00 - 26.07.2015 22:15","8258","8320"
"26.07.2015 22:15 - 26.07.2015 22:30","8441","8367"
"26.07.2015 22:30 - 26.07.2015 22:45","8485","8302"
"26.07.2015 22:45 - 26.07.2015 23:00","8414","8240"
"26.07.2015 23:00 - 26.07.2015 23:15","8280","8085"
"26.07.2015 23:15 - 26.07.2015 23:30","8160","8008"
"26.07.2015 23:30 - 26.07.2015 23:45","8002","7832"
"26.07.2015 23:45 - 27.07.2015 00:00","7877","7658"
"27.07.2015 00:00 - 27.07.2015 00:15","7755","7513"
"27.07.2015 00:15 - 27.07.2015 00:30","7664","7387"
"27.07.2015 00:30 - 27.07.2015 00:45","7533","7248"
"27.07.2015 00:45 - 27.07.2015 01:00","7457","7211"
"27.07.2015 01:00 - 27.07.2015 01:15","7406","7193"
"27.07.2015 01:15 - 27.07.2015 01:30","7328","7131"
"27.07.2015 01:30 - 27.07.2015 01:45","7269","7048"
"27.07.2015 01:45 - 27.07.2015 02:00","7187","6999"
"27.07.2015 02:00 - 27.07.2015 02:15","7048","6964"
"27.07.2015 02:15 - 27.07.2015 02:30","7059","6882"
"27.07.2015 02:30 - 27.07.2015 02:45","7032","6865"
"27.07.2015 02:45 - 27.07.2015 03:00","7011","6881"
"27.07.2015 03:00 - 27.07.2015 03:15","6919","6847"
"27.07.2015 03:15 - 27.07.2015 03:30","6967","6869"
"27.07.2015 03:30 - 27.07.2015 03:45","6974","6849"
"27.07.2015 03:45 - 27.07.2015 04:00","6946","6879"
"27.07.2015 04:00 - 27.07.2015 04:15","6955","6835"
"27.07.2015 04:15 - 27.07.2015 04:30","6941","6909"
"27.07.2015 04:30 - 27.07.2015 04:45","7002","6955"
"27.07.2015 04:45 - 27.07.2015 05:00","7020","7039"
"27.07.2015 05:00 - 27.07.2015 05:15","7060","7085"
"27.07.2015 05:15 - 27.07.2015 05:30","7128","7206"
"27.07.2015 05:30 - 27.07.2015 05:45","7133","7315"
"27.07.2015 05:45 - 27.07.2015 06:00","7194","7338"
"27.07.2015 06:00 - 27.07.2015 06:15","7519","7438"
"27.07.2015 06:15 - 27.07.2015 06:30","7685","7631"
"27.07.2015 06:30 - 27.07.2015 06:45","7821","7761"
"27.07.2015 06:45 - 27.07.2015 07:00","7937","7908"
"27.07.2015 07:00 - 27.07.2015 07:15","8231","8140"
"27.07.2015 07:15 - 27.07.2015 07:30","8466","8337"
"27.07.2015 07:30 - 27.07.2015 07:45","8591","8523"
"27.07.2015 07:45 - 27.07.2015 08:00","8746","8576"
"27.07.2015 08:00 - 27.07.2015 08:15","8866","8723"
"27.07.2015 08:15 - 27.07.2015 08:30","8946","8866"
"27.07.2015 08:30 - 27.07.2015 08:45","9087","8988"
"27.07.2015 08:45 - 27.07.2015 09:00","9195","9068"
"27.07.2015 09:00 - 27.07.2015 09:15","9294","9200"
"27.07.2015 09:15 - 27.07.2015 09:30","9373","9286"
"27.07.2015 09:30 - 27.07.2015 09:45","9452","9411"
"27.07.2015 09:45 - 27.07.2015 10:00","9497","9562"
"27.07.2015 10:00 - 27.07.2015 10:15","9574","9605"
"27.07.2015 10:15 - 27.07.2015 10:30","9647","9642"
"27.07.2015 10:30 - 27.07.2015 10:45","9723","9684"
"27.07.2015 10:45 - 27.07.2015 11:00","9787","9745"
"27.07.2015 11:00 - 27.07.2015 11:15","9838","9801"
"27.07.2015 11:15 - 27.07.2015 11:30","9884","9872"
"27.07.2015 11:30 - 27.07.2015 11:45","9980","9934"
"27.07.2015 11:45 - 27.07.2015 12:00","10042","9963"
"27.07.2015 12:00 - 27.07.2015 12:15","9962","9905"
"27.07.2015 12:15 - 27.07.2015 12:30","9846","9840"
"27.07.2015 12:30 - 27.07.2015 12:45","9816","9767"
"27.07.2015 12:45 - 27.07.2015 13:00","9814","9720"
"27.07.2015 13:00 - 27.07.2015 13:15","9792","9745"
"27.07.2015 13:15 - 27.07.2015 13:30","9812","9689"
"27.07.2015 13:30 - 27.07.2015 13:45","9803","9695"
"27.07.2015 13:45 - 27.07.2015 14:00","9760","9552"
"27.07.2015 14:00 - 27.07.2015 14:15","9774","9494"
"27.07.2015 14:15 - 27.07.2015 14:30","9753","9514"
"27.07.2015 14:30 - 27.07.2015 14:45","9729","9399"
"27.07.2015 14:45 - 27.07.2015 15:00","9651","9370"
"27.07.2015 15:00 - 27.07.2015 15:15","9706","9358"
"27.07.2015 15:15 - 27.07.2015 15:30","9678","9414"
"27.07.2015 15:30 - 27.07.2015 15:45","9665","9365"
"27.07.2015 15:45 - 27.07.2015 16:00","9640","9271"
"27.07.2015 16:00 - 27.07.2015 16:15","9567","9294"
"27.07.2015 16:15 - 27.07.2015 16:30","9565","9251"
"27.07.2015 16:30 - 27.07.2015 16:45","9606","9243"
"27.07.2015 16:45 - 27.07.2015 17:00","9583","9335"
"27.07.2015 17:00 - 27.07.2015 17:15","9530","9321"
"27.07.2015 17:15 - 27.07.2015 17:30","9541","9315"
"27.07.2015 17:30 - 27.07.2015 17:45","9607","9386"
"27.07.2015 17:45 - 27.07.2015 18:00","9625","9467"
"27.07.2015 18:00 - 27.07.2015 18:15","9566","9332"
"27.07.2015 18:15 - 27.07.2015 18:30","9499","9295"
"27.07.2015 18:30 - 27.07.2015 18:45","9492","9237"
"27.07.2015 18:45 - 27.07.2015 19:00","9400","9188"
"27.07.2015 19:00 - 27.07.2015 19:15","9329","9082"
"27.07.2015 19:15 - 27.07.2015 19:30","9220","8958"
"27.07.2015 19:30 - 27.07.2015 19:45","9092","8889"
"27.07.2015 19:45 - 27.07.2015 20:00","9072","8784"
"27.07.2015 20:00 - 27.07.2015 20:15","9059","8749"
"27.07.2015 20:15 - 27.07.2015 20:30","8921","8592"
"27.07.2015 20:30 - 27.07.2015 20:45","8854","8577"
"27.07.2015 20:45 - 27.07.2015 21:00","8780","8499"
"27.07.2015 21:00 - 27.07.2015 21:15","8686","8418"
"27.07.2015 21:15 - 27.07.2015 21:30","8604","8440"
"27.07.2015 21:30 - 27.07.2015 21:45","8622","8486"
"27.07.2015 21:45 - 27.07.2015 22:00","8638","8551"
"27.07.2015 22:00 - 27.07.2015 22:15","8760","8793"
"27.07.2015 22:15 - 27.07.2015 22:30","8871","8907"
"27.07.2015 22:30 - 27.07.2015 22:45","8901","8927"
"27.07.2015 22:45 - 27.07.2015 23:00","8810","8809"
"27.07.2015 23:00 - 27.07.2015 23:15","8742","8680"
"27.07.2015 23:15 - 27.07.2015 23:30","8597","8542"
"27.07.2015 23:30 - 27.07.2015 23:45","8468","8347"
"27.07.2015 23:45 - 28.07.2015 00:00","8323","8208"
"28.07.2015 00:00 - 28.07.2015 00:15","8176","8040"
"28.07.2015 00:15 - 28.07.2015 00:30","8022","7867"
"28.07.2015 00:30 - 28.07.2015 00:45","7895","7772"
"28.07.2015 00:45 - 28.07.2015 01:00","7796","7659"
"28.07.2015 01:00 - 28.07.2015 01:15","7775","7614"
"28.07.2015 01:15 - 28.07.2015 01:30","7728","7543"
"28.07.2015 01:30 - 28.07.2015 01:45","7599","7470"
"28.07.2015 01:45 - 28.07.2015 02:00","7499","7431"
"28.07.2015 02:00 - 28.07.2015 02:15","7472","7331"
"28.07.2015 02:15 - 28.07.2015 02:30","7431","7280"
"28.07.2015 02:30 - 28.07.2015 02:45","7395","7213"
"28.07.2015 02:45 - 28.07.2015 03:00","7370","7218"
