"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"03.01.2015 23:45 - 04.01.2015 00:00","9977","11269"
"04.01.2015 00:00 - 04.01.2015 00:15","9837","11133"
"04.01.2015 00:15 - 04.01.2015 00:30","9665","11091"
"04.01.2015 00:30 - 04.01.2015 00:45","9460","11022"
"04.01.2015 00:45 - 04.01.2015 01:00","9259","10886"
"04.01.2015 01:00 - 04.01.2015 01:15","9071","10754"
"04.01.2015 01:15 - 04.01.2015 01:30","8915","10594"
"04.01.2015 01:30 - 04.01.2015 01:45","8753","10440"
"04.01.2015 01:45 - 04.01.2015 02:00","8632","10261"
"04.01.2015 02:00 - 04.01.2015 02:15","8536","10085"
"04.01.2015 02:15 - 04.01.2015 02:30","8444","9992"
"04.01.2015 02:30 - 04.01.2015 02:45","8366","9956"
"04.01.2015 02:45 - 04.01.2015 03:00","8300","9820"
"04.01.2015 03:00 - 04.01.2015 03:15","8265","9766"
"04.01.2015 03:15 - 04.01.2015 03:30","8223","9774"
"04.01.2015 03:30 - 04.01.2015 03:45","8185","9749"
"04.01.2015 03:45 - 04.01.2015 04:00","8153","9748"
"04.01.2015 04:00 - 04.01.2015 04:15","8161","9734"
"04.01.2015 04:15 - 04.01.2015 04:30","8162","9706"
"04.01.2015 04:30 - 04.01.2015 04:45","8170","9702"
"04.01.2015 04:45 - 04.01.2015 05:00","8175","9718"
"04.01.2015 05:00 - 04.01.2015 05:15","8208","9792"
"04.01.2015 05:15 - 04.01.2015 05:30","8237","9850"
"04.01.2015 05:30 - 04.01.2015 05:45","8275","9897"
"04.01.2015 05:45 - 04.01.2015 06:00","8319","9921"
"04.01.2015 06:00 - 04.01.2015 06:15","8415","9971"
"04.01.2015 06:15 - 04.01.2015 06:30","8491","10061"
"04.01.2015 06:30 - 04.01.2015 06:45","8572","10154"
"04.01.2015 06:45 - 04.01.2015 07:00","8671","10289"
"04.01.2015 07:00 - 04.01.2015 07:15","8826","10448"
"04.01.2015 07:15 - 04.01.2015 07:30","8979","10668"
"04.01.2015 07:30 - 04.01.2015 07:45","9185","10868"
"04.01.2015 07:45 - 04.01.2015 08:00","9405","11097"
"04.01.2015 08:00 - 04.01.2015 08:15","9679","11352"
"04.01.2015 08:15 - 04.01.2015 08:30","9887","11601"
"04.01.2015 08:30 - 04.01.2015 08:45","9974","11746"
"04.01.2015 08:45 - 04.01.2015 09:00","10158","11850"
"04.01.2015 09:00 - 04.01.2015 09:15","10407","12018"
"04.01.2015 09:15 - 04.01.2015 09:30","10608","12298"
"04.01.2015 09:30 - 04.01.2015 09:45","10792","12570"
"04.01.2015 09:45 - 04.01.2015 10:00","10980","12805"
"04.01.2015 10:00 - 04.01.2015 10:15","11144","12978"
"04.01.2015 10:15 - 04.01.2015 10:30","11265","13153"
"04.01.2015 10:30 - 04.01.2015 10:45","11382","13322"
"04.01.2015 10:45 - 04.01.2015 11:00","11470","13347"
"04.01.2015 11:00 - 04.01.2015 11:15","11567","13301"
"04.01.2015 11:15 - 04.01.2015 11:30","11629","13470"
"04.01.2015 11:30 - 04.01.2015 11:45","11696","13545"
"04.01.2015 11:45 - 04.01.2015 12:00","11791","13580"
"04.01.2015 12:00 - 04.01.2015 12:15","11879","13504"
"04.01.2015 12:15 - 04.01.2015 12:30","11896","13417"
"04.01.2015 12:30 - 04.01.2015 12:45","11885","13318"
"04.01.2015 12:45 - 04.01.2015 13:00","11879","13296"
"04.01.2015 13:00 - 04.01.2015 13:15","11860","13469"
"04.01.2015 13:15 - 04.01.2015 13:30","11838","13591"
"04.01.2015 13:30 - 04.01.2015 13:45","11782","13666"
"04.01.2015 13:45 - 04.01.2015 14:00","11717","13632"
"04.01.2015 14:00 - 04.01.2015 14:15","11667","13635"
"04.01.2015 14:15 - 04.01.2015 14:30","11651","13754"
"04.01.2015 14:30 - 04.01.2015 14:45","11624","13860"
"04.01.2015 14:45 - 04.01.2015 15:00","11621","13897"
"04.01.2015 15:00 - 04.01.2015 15:15","11613","13906"
"04.01.2015 15:15 - 04.01.2015 15:30","11629","13932"
"04.01.2015 15:30 - 04.01.2015 15:45","11664","13940"
"04.01.2015 15:45 - 04.01.2015 16:00","11725","13974"
"04.01.2015 16:00 - 04.01.2015 16:15","11800","13876"
"04.01.2015 16:15 - 04.01.2015 16:30","12029","13752"
"04.01.2015 16:30 - 04.01.2015 16:45","12404","13923"
"04.01.2015 16:45 - 04.01.2015 17:00","12960","14238"
"04.01.2015 17:00 - 04.01.2015 17:15","13369","14568"
"04.01.2015 17:15 - 04.01.2015 17:30","13637","14918"
"04.01.2015 17:30 - 04.01.2015 17:45","13788","15278"
"04.01.2015 17:45 - 04.01.2015 18:00","13871","15440"
"04.01.2015 18:00 - 04.01.2015 18:15","13780","15386"
"04.01.2015 18:15 - 04.01.2015 18:30","13658","15157"
"04.01.2015 18:30 - 04.01.2015 18:45","13536","15141"
"04.01.2015 18:45 - 04.01.2015 19:00","13476","15046"
"04.01.2015 19:00 - 04.01.2015 19:15","13370","15048"
"04.01.2015 19:15 - 04.01.2015 19:30","13274","15090"
"04.01.2015 19:30 - 04.01.2015 19:45","13156","15001"
"04.01.2015 19:45 - 04.01.2015 20:00","13115","14924"
"04.01.2015 20:00 - 04.01.2015 20:15","12964","14856"
"04.01.2015 20:15 - 04.01.2015 20:30","12836","14711"
"04.01.2015 20:30 - 04.01.2015 20:45","12602","14468"
"04.01.2015 20:45 - 04.01.2015 21:00","12414","14208"
"04.01.2015 21:00 - 04.01.2015 21:15","12203","14138"
"04.01.2015 21:15 - 04.01.2015 21:30","12091","14107"
"04.01.2015 21:30 - 04.01.2015 21:45","11910","13985"
"04.01.2015 21:45 - 04.01.2015 22:00","11727","13831"
"04.01.2015 22:00 - 04.01.2015 22:15","11526","13596"
"04.01.2015 22:15 - 04.01.2015 22:30","11338","13285"
"04.01.2015 22:30 - 04.01.2015 22:45","11085","12992"
"04.01.2015 22:45 - 04.01.2015 23:00","10823","12815"
"04.01.2015 23:00 - 04.01.2015 23:15","10522","12556"
"04.01.2015 23:15 - 04.01.2015 23:30","10270","12330"
"04.01.2015 23:30 - 04.01.2015 23:45","10000","11997"
"04.01.2015 23:45 - 05.01.2015 00:00","9747","11709"
"05.01.2015 00:00 - 05.01.2015 00:15","9566","11608"
"05.01.2015 00:15 - 05.01.2015 00:30","9391","11582"
"05.01.2015 00:30 - 05.01.2015 00:45","9196","11431"
