"Time (CET)","Day-ahead Total Load Forecast [MW] - Netherlands (NL)","Actual Total Load [MW] - Netherlands (NL)"
"12.05.2015 11:00 - 12.05.2015 11:15","13551","13000"
"12.05.2015 11:15 - 12.05.2015 11:30","13537","12992"
"12.05.2015 11:30 - 12.05.2015 11:45","13496","13004"
"12.05.2015 11:45 - 12.05.2015 12:00","13392","13005"
"12.05.2015 12:00 - 12.05.2015 12:15","13384","12949"
"12.05.2015 12:15 - 12.05.2015 12:30","13262","12856"
"12.05.2015 12:30 - 12.05.2015 12:45","12979","12754"
"12.05.2015 12:45 - 12.05.2015 13:00","12993","12733"
"12.05.2015 13:00 - 12.05.2015 13:15","13045","12787"
"12.05.2015 13:15 - 12.05.2015 13:30","13220","12840"
"12.05.2015 13:30 - 12.05.2015 13:45","13144","12831"
"12.05.2015 13:45 - 12.05.2015 14:00","13043","12793"
"12.05.2015 14:00 - 12.05.2015 14:15","13014","12781"
"12.05.2015 14:15 - 12.05.2015 14:30","13027","12791"
"12.05.2015 14:30 - 12.05.2015 14:45","12906","12710"
"12.05.2015 14:45 - 12.05.2015 15:00","12781","12644"
"12.05.2015 15:00 - 12.05.2015 15:15","12722","12529"
"12.05.2015 15:15 - 12.05.2015 15:30","12663","12510"
"12.05.2015 15:30 - 12.05.2015 15:45","12620","12491"
"12.05.2015 15:45 - 12.05.2015 16:00","12638","12475"
"12.05.2015 16:00 - 12.05.2015 16:15","12651","12455"
"12.05.2015 16:15 - 12.05.2015 16:30","12536","12429"
"12.05.2015 16:30 - 12.05.2015 16:45","12587","12393"
"12.05.2015 16:45 - 12.05.2015 17:00","12556","12480"
"12.05.2015 17:00 - 12.05.2015 17:15","12553","12507"
"12.05.2015 17:15 - 12.05.2015 17:30","12543","12554"
"12.05.2015 17:30 - 12.05.2015 17:45","12672","12533"
"12.05.2015 17:45 - 12.05.2015 18:00","12690","12470"
"12.05.2015 18:00 - 12.05.2015 18:15","12586","12146"
"12.05.2015 18:15 - 12.05.2015 18:30","12444","11905"
"12.05.2015 18:30 - 12.05.2015 18:45","12434","11768"
"12.05.2015 18:45 - 12.05.2015 19:00","12452","11722"
"12.05.2015 19:00 - 12.05.2015 19:15","12509","11612"
"12.05.2015 19:15 - 12.05.2015 19:30","12615","11545"
"12.05.2015 19:30 - 12.05.2015 19:45","12713","11458"
"12.05.2015 19:45 - 12.05.2015 20:00","12741","11404"
"12.05.2015 20:00 - 12.05.2015 20:15","12794","11279"
"12.05.2015 20:15 - 12.05.2015 20:30","12853","11146"
"12.05.2015 20:30 - 12.05.2015 20:45","12882","11028"
"12.05.2015 20:45 - 12.05.2015 21:00","13020","10966"
"12.05.2015 21:00 - 12.05.2015 21:15","13163","10903"
"12.05.2015 21:15 - 12.05.2015 21:30","13376","10969"
"12.05.2015 21:30 - 12.05.2015 21:45","13588","11156"
"12.05.2015 21:45 - 12.05.2015 22:00","13521","11330"
"12.05.2015 22:00 - 12.05.2015 22:15","13369","11181"
"12.05.2015 22:15 - 12.05.2015 22:30","13263","10978"
"12.05.2015 22:30 - 12.05.2015 22:45","13173","10712"
"12.05.2015 22:45 - 12.05.2015 23:00","12968","10478"
"12.05.2015 23:00 - 12.05.2015 23:15","12816","10303"
"12.05.2015 23:15 - 12.05.2015 23:30","12724","10057"
"12.05.2015 23:30 - 12.05.2015 23:45","12519","9762"
"12.05.2015 23:45 - 13.05.2015 00:00","12295","9509"
"13.05.2015 00:00 - 13.05.2015 00:15","12065","9252"
"13.05.2015 00:15 - 13.05.2015 00:30","11822","9043"
"13.05.2015 00:30 - 13.05.2015 00:45","11497","8818"
"13.05.2015 00:45 - 13.05.2015 01:00","11228","8601"
"13.05.2015 01:00 - 13.05.2015 01:15","11053","8416"
"13.05.2015 01:15 - 13.05.2015 01:30","10906","8275"
"13.05.2015 01:30 - 13.05.2015 01:45","10750","8158"
"13.05.2015 01:45 - 13.05.2015 02:00","10615","8063"
"13.05.2015 02:00 - 13.05.2015 02:15","10530","7997"
"13.05.2015 02:15 - 13.05.2015 02:30","10469","7930"
"13.05.2015 02:30 - 13.05.2015 02:45","10414","7838"
"13.05.2015 02:45 - 13.05.2015 03:00","10314","7814"
"13.05.2015 03:00 - 13.05.2015 03:15","10252","7803"
"13.05.2015 03:15 - 13.05.2015 03:30","10265","7762"
"13.05.2015 03:30 - 13.05.2015 03:45","10224","7736"
"13.05.2015 03:45 - 13.05.2015 04:00","10143","7736"
"13.05.2015 04:00 - 13.05.2015 04:15","10135","7763"
"13.05.2015 04:15 - 13.05.2015 04:30","10126","7766"
"13.05.2015 04:30 - 13.05.2015 04:45","10155","7782"
"13.05.2015 04:45 - 13.05.2015 05:00","10254","7815"
"13.05.2015 05:00 - 13.05.2015 05:15","10319","7926"
"13.05.2015 05:15 - 13.05.2015 05:30","10445","7988"
"13.05.2015 05:30 - 13.05.2015 05:45","10606","8029"
"13.05.2015 05:45 - 13.05.2015 06:00","10760","8134"
"13.05.2015 06:00 - 13.05.2015 06:15","10922","8480"
"13.05.2015 06:15 - 13.05.2015 06:30","11203","8826"
"13.05.2015 06:30 - 13.05.2015 06:45","11471","9195"
"13.05.2015 06:45 - 13.05.2015 07:00","11825","9551"
"13.05.2015 07:00 - 13.05.2015 07:15","12021","10101"
"13.05.2015 07:15 - 13.05.2015 07:30","12335","10547"
"13.05.2015 07:30 - 13.05.2015 07:45","12798","11004"
"13.05.2015 07:45 - 13.05.2015 08:00","13182","11398"
"13.05.2015 08:00 - 13.05.2015 08:15","13355","11762"
"13.05.2015 08:15 - 13.05.2015 08:30","13519","12007"
"13.05.2015 08:30 - 13.05.2015 08:45","13694","12187"
"13.05.2015 08:45 - 13.05.2015 09:00","13843","12404"
"13.05.2015 09:00 - 13.05.2015 09:15","13987","12550"
"13.05.2015 09:15 - 13.05.2015 09:30","14174","12629"
"13.05.2015 09:30 - 13.05.2015 09:45","14227","12654"
"13.05.2015 09:45 - 13.05.2015 10:00","14269","12703"
"13.05.2015 10:00 - 13.05.2015 10:15","14247","12717"
"13.05.2015 10:15 - 13.05.2015 10:30","14273","12733"
"13.05.2015 10:30 - 13.05.2015 10:45","14262","12746"
"13.05.2015 10:45 - 13.05.2015 11:00","11123","12750"
"13.05.2015 11:00 - 13.05.2015 11:15","14339","12758"
"13.05.2015 11:15 - 13.05.2015 11:30","14313","12764"
"13.05.2015 11:30 - 13.05.2015 11:45","14330","12766"
"13.05.2015 11:45 - 13.05.2015 12:00","14316","12772"
"13.05.2015 12:00 - 13.05.2015 12:15","14317","12706"
"13.05.2015 12:15 - 13.05.2015 12:30","14272","12602"
"13.05.2015 12:30 - 13.05.2015 12:45","14140","12507"
"13.05.2015 12:45 - 13.05.2015 13:00","14025","12488"
"13.05.2015 13:00 - 13.05.2015 13:15","13944","12542"
"13.05.2015 13:15 - 13.05.2015 13:30","14041","12588"
"13.05.2015 13:30 - 13.05.2015 13:45","14324","12557"
"13.05.2015 13:45 - 13.05.2015 14:00","14286","12501"
"13.05.2015 14:00 - 13.05.2015 14:15","14229","12446"
"13.05.2015 14:15 - 13.05.2015 14:30","14226","12394"
"13.05.2015 14:30 - 13.05.2015 14:45","14340","12325"
"13.05.2015 14:45 - 13.05.2015 15:00","14235","12277"
"13.05.2015 15:00 - 13.05.2015 15:15","14199","12223"
"13.05.2015 15:15 - 13.05.2015 15:30","14229","12198"
"13.05.2015 15:30 - 13.05.2015 15:45","14165","12186"
"13.05.2015 15:45 - 13.05.2015 16:00","14132","12167"
"13.05.2015 16:00 - 13.05.2015 16:15","14522","12117"
"13.05.2015 16:15 - 13.05.2015 16:30","14423","12100"
"13.05.2015 16:30 - 13.05.2015 16:45","14336","12097"
"13.05.2015 16:45 - 13.05.2015 17:00","14110","12173"
"13.05.2015 17:00 - 13.05.2015 17:15","14195","12194"
"13.05.2015 17:15 - 13.05.2015 17:30","14200","12259"
"13.05.2015 17:30 - 13.05.2015 17:45","14260","12248"
"13.05.2015 17:45 - 13.05.2015 18:00","14166","12201"
"13.05.2015 18:00 - 13.05.2015 18:15","13990","11908"
"13.05.2015 18:15 - 13.05.2015 18:30","13632","11653"
"13.05.2015 18:30 - 13.05.2015 18:45","13469","11536"
"13.05.2015 18:45 - 13.05.2015 19:00","13495","11477"
"13.05.2015 19:00 - 13.05.2015 19:15","13420","11334"
"13.05.2015 19:15 - 13.05.2015 19:30","13474","11255"
"13.05.2015 19:30 - 13.05.2015 19:45","13454","11159"
"13.05.2015 19:45 - 13.05.2015 20:00","13364","11131"
"13.05.2015 20:00 - 13.05.2015 20:15","13388","10992"
"13.05.2015 20:15 - 13.05.2015 20:30","13435","10864"
"13.05.2015 20:30 - 13.05.2015 20:45","13403","10767"
"13.05.2015 20:45 - 13.05.2015 21:00","13370","10706"
"13.05.2015 21:00 - 13.05.2015 21:15","13470","10597"
"13.05.2015 21:15 - 13.05.2015 21:30","13639","10646"
"13.05.2015 21:30 - 13.05.2015 21:45","13769","10765"
"13.05.2015 21:45 - 13.05.2015 22:00","13683","10939"
"13.05.2015 22:00 - 13.05.2015 22:15","13529","10802"
"13.05.2015 22:15 - 13.05.2015 22:30","13277","10604"
"13.05.2015 22:30 - 13.05.2015 22:45","13024","10377"
"13.05.2015 22:45 - 13.05.2015 23:00","12662","10159"
"13.05.2015 23:00 - 13.05.2015 23:15","12531","10047"
"13.05.2015 23:15 - 13.05.2015 23:30","12525","9859"
"13.05.2015 23:30 - 13.05.2015 23:45","12356","9599"
"13.05.2015 23:45 - 14.05.2015 00:00","12078","9324"
"14.05.2015 00:00 - 14.05.2015 00:15","11799","9023"
"14.05.2015 00:15 - 14.05.2015 00:30","11577","8772"
"14.05.2015 00:30 - 14.05.2015 00:45","11288","8545"
"14.05.2015 00:45 - 14.05.2015 01:00","11043","8319"
"14.05.2015 01:00 - 14.05.2015 01:15","10897","8127"
"14.05.2015 01:15 - 14.05.2015 01:30","10707","7994"
"14.05.2015 01:30 - 14.05.2015 01:45","10543","7873"
"14.05.2015 01:45 - 14.05.2015 02:00","10397","7769"
"14.05.2015 02:00 - 14.05.2015 02:15","10325","7672"
"14.05.2015 02:15 - 14.05.2015 02:30","10252","7608"
"14.05.2015 02:30 - 14.05.2015 02:45","10174","7553"
"14.05.2015 02:45 - 14.05.2015 03:00","10154","7493"
"14.05.2015 03:00 - 14.05.2015 03:15","10129","7469"
"14.05.2015 03:15 - 14.05.2015 03:30","10139","7441"
"14.05.2015 03:30 - 14.05.2015 03:45","10154","7401"
"14.05.2015 03:45 - 14.05.2015 04:00","10099","7366"
"14.05.2015 04:00 - 14.05.2015 04:15","10070","7359"
"14.05.2015 04:15 - 14.05.2015 04:30","10096","7351"
"14.05.2015 04:30 - 14.05.2015 04:45","10183","7339"
"14.05.2015 04:45 - 14.05.2015 05:00","10236","7332"
"14.05.2015 05:00 - 14.05.2015 05:15","10287","7369"
"14.05.2015 05:15 - 14.05.2015 05:30","10382","7373"
"14.05.2015 05:30 - 14.05.2015 05:45","10581","7247"
"14.05.2015 05:45 - 14.05.2015 06:00","10847","7160"
"14.05.2015 06:00 - 14.05.2015 06:15","11113","7224"
"14.05.2015 06:15 - 14.05.2015 06:30","11440","7260"
"14.05.2015 06:30 - 14.05.2015 06:45","11798","7353"
"14.05.2015 06:45 - 14.05.2015 07:00","12080","7435"
"14.05.2015 07:00 - 14.05.2015 07:15","12337","7610"
"14.05.2015 07:15 - 14.05.2015 07:30","12573","7743"
"14.05.2015 07:30 - 14.05.2015 07:45","13074","7897"
"14.05.2015 07:45 - 14.05.2015 08:00","13319","8059"
"14.05.2015 08:00 - 14.05.2015 08:15","13540","8267"
"14.05.2015 08:15 - 14.05.2015 08:30","13686","8433"
"14.05.2015 08:30 - 14.05.2015 08:45","13898","8610"
"14.05.2015 08:45 - 14.05.2015 09:00","14086","8800"
"14.05.2015 09:00 - 14.05.2015 09:15","14231","8975"
"14.05.2015 09:15 - 14.05.2015 09:30","14431","9140"
"14.05.2015 09:30 - 14.05.2015 09:45","14477","9255"
"14.05.2015 09:45 - 14.05.2015 10:00","14509","9379"
"14.05.2015 10:00 - 14.05.2015 10:15","14567","9469"
"14.05.2015 10:15 - 14.05.2015 10:30","14555","9507"
"14.05.2015 10:30 - 14.05.2015 10:45","14514","9537"
"14.05.2015 10:45 - 14.05.2015 11:00","14491","9558"
"14.05.2015 11:00 - 14.05.2015 11:15","14480","9586"
"14.05.2015 11:15 - 14.05.2015 11:30","14494","9571"
"14.05.2015 11:30 - 14.05.2015 11:45","14448","9573"
"14.05.2015 11:45 - 14.05.2015 12:00","14416","9610"
"14.05.2015 12:00 - 14.05.2015 12:15","14467","9611"
"14.05.2015 12:15 - 14.05.2015 12:30","14462","9575"
"14.05.2015 12:30 - 14.05.2015 12:45","14425","9500"
"14.05.2015 12:45 - 14.05.2015 13:00","14239","9446"
"14.05.2015 13:00 - 14.05.2015 13:15","14213","9392"
"14.05.2015 13:15 - 14.05.2015 13:30","14308","9340"
"14.05.2015 13:30 - 14.05.2015 13:45","14286","9255"
"14.05.2015 13:45 - 14.05.2015 14:00","14367","9198"
"14.05.2015 14:00 - 14.05.2015 14:15","12663","9138"
"14.05.2015 14:15 - 14.05.2015 14:30","14301","9087"
"14.05.2015 14:30 - 14.05.2015 14:45","14332","9031"
"14.05.2015 14:45 - 14.05.2015 15:00","14307","9008"
"14.05.2015 15:00 - 14.05.2015 15:15","14230","8991"
"14.05.2015 15:15 - 14.05.2015 15:30","14221","8954"
"14.05.2015 15:30 - 14.05.2015 15:45","14219","8923"
"14.05.2015 15:45 - 14.05.2015 16:00","14272","8935"
"14.05.2015 16:00 - 14.05.2015 16:15","14285","8970"
"14.05.2015 16:15 - 14.05.2015 16:30","14326","9030"
"14.05.2015 16:30 - 14.05.2015 16:45","14352","9144"
"14.05.2015 16:45 - 14.05.2015 17:00","14333","9287"
"14.05.2015 17:00 - 14.05.2015 17:15","14302","9458"
"14.05.2015 17:15 - 14.05.2015 17:30","14237","9621"
"14.05.2015 17:30 - 14.05.2015 17:45","14257","9785"
"14.05.2015 17:45 - 14.05.2015 18:00","14191","9930"
"14.05.2015 18:00 - 14.05.2015 18:15","14075","9929"
"14.05.2015 18:15 - 14.05.2015 18:30","13878","9916"
"14.05.2015 18:30 - 14.05.2015 18:45","13782","9897"
"14.05.2015 18:45 - 14.05.2015 19:00","13759","9879"
"14.05.2015 19:00 - 14.05.2015 19:15","13767","9803"
"14.05.2015 19:15 - 14.05.2015 19:30","13783","9769"
"14.05.2015 19:30 - 14.05.2015 19:45","13777","9718"
"14.05.2015 19:45 - 14.05.2015 20:00","13716","9734"
"14.05.2015 20:00 - 14.05.2015 20:15","13745","9669"
"14.05.2015 20:15 - 14.05.2015 20:30","13838","9631"
"14.05.2015 20:30 - 14.05.2015 20:45","13888","9577"
"14.05.2015 20:45 - 14.05.2015 21:00","13985","9555"
"14.05.2015 21:00 - 14.05.2015 21:15","14160","9517"
"14.05.2015 21:15 - 14.05.2015 21:30","14314","9642"
"14.05.2015 21:30 - 14.05.2015 21:45","14296","9763"
"14.05.2015 21:45 - 14.05.2015 22:00","14130","9926"
"14.05.2015 22:00 - 14.05.2015 22:15","13971","9888"
"14.05.2015 22:15 - 14.05.2015 22:30","13810","9793"
"14.05.2015 22:30 - 14.05.2015 22:45","13693","9629"
"14.05.2015 22:45 - 14.05.2015 23:00","13474","9469"
"14.05.2015 23:00 - 14.05.2015 23:15","13344","9303"
"14.05.2015 23:15 - 14.05.2015 23:30","13275","9107"
"14.05.2015 23:30 - 14.05.2015 23:45","12968","8870"
"14.05.2015 23:45 - 15.05.2015 00:00","12705","8669"
"15.05.2015 00:00 - 15.05.2015 00:15","12548","8453"
"15.05.2015 00:15 - 15.05.2015 00:30","12369","8289"
"15.05.2015 00:30 - 15.05.2015 00:45","12138","8103"
"15.05.2015 00:45 - 15.05.2015 01:00","11915","7919"
"15.05.2015 01:00 - 15.05.2015 01:15","11799","7767"
"15.05.2015 01:15 - 15.05.2015 01:30","11663","7635"
"15.05.2015 01:30 - 15.05.2015 01:45","11424","7536"
"15.05.2015 01:45 - 15.05.2015 02:00","11340","7457"
"15.05.2015 02:00 - 15.05.2015 02:15","11366","7394"
"15.05.2015 02:15 - 15.05.2015 02:30","11230","7352"
"15.05.2015 02:30 - 15.05.2015 02:45","11173","7307"
"15.05.2015 02:45 - 15.05.2015 03:00","11151","7269"
"15.05.2015 03:00 - 15.05.2015 03:15","11113","7249"
"15.05.2015 03:15 - 15.05.2015 03:30","11079","7221"
"15.05.2015 03:30 - 15.05.2015 03:45","11058","7204"
"15.05.2015 03:45 - 15.05.2015 04:00","10988","7205"
"15.05.2015 04:00 - 15.05.2015 04:15","10958","7229"
"15.05.2015 04:15 - 15.05.2015 04:30","11060","7237"
"15.05.2015 04:30 - 15.05.2015 04:45","11109","7272"
"15.05.2015 04:45 - 15.05.2015 05:00","11175","7312"
"15.05.2015 05:00 - 15.05.2015 05:15","11258","7408"
"15.05.2015 05:15 - 15.05.2015 05:30","11350","7416"
"15.05.2015 05:30 - 15.05.2015 05:45","11469","7409"
"15.05.2015 05:45 - 15.05.2015 06:00","11613","7457"
"15.05.2015 06:00 - 15.05.2015 06:15","11756","7717"
"15.05.2015 06:15 - 15.05.2015 06:30","11972","7934"
"15.05.2015 06:30 - 15.05.2015 06:45","12269","8170"
"15.05.2015 06:45 - 15.05.2015 07:00","12531","8407"
"15.05.2015 07:00 - 15.05.2015 07:15","12797","8760"
"15.05.2015 07:15 - 15.05.2015 07:30","13178","9059"
"15.05.2015 07:30 - 15.05.2015 07:45","13599","9375"
"15.05.2015 07:45 - 15.05.2015 08:00","14008","9682"
"15.05.2015 08:00 - 15.05.2015 08:15","14212","10022"
"15.05.2015 08:15 - 15.05.2015 08:30","14364","10280"
"15.05.2015 08:30 - 15.05.2015 08:45","14636","10512"
"15.05.2015 08:45 - 15.05.2015 09:00","14793","10766"
"15.05.2015 09:00 - 15.05.2015 09:15","14894","10977"
"15.05.2015 09:15 - 15.05.2015 09:30","14889","11131"
"15.05.2015 09:30 - 15.05.2015 09:45","14763","11238"
"15.05.2015 09:45 - 15.05.2015 10:00","14818","11314"
"15.05.2015 10:00 - 15.05.2015 10:15","15018","11419"
"15.05.2015 10:15 - 15.05.2015 10:30","15055","11428"
"15.05.2015 10:30 - 15.05.2015 10:45","15079","11442"
"15.05.2015 10:45 - 15.05.2015 11:00","15121","11425"
"15.05.2015 11:00 - 15.05.2015 11:15","15068","11410"
"15.05.2015 11:15 - 15.05.2015 11:30","15044","11366"
"15.05.2015 11:30 - 15.05.2015 11:45","15163","11333"
"15.05.2015 11:45 - 15.05.2015 12:00","15171","11326"
"15.05.2015 12:00 - 15.05.2015 12:15","15126","11239"
"15.05.2015 12:15 - 15.05.2015 12:30","15114","11149"
"15.05.2015 12:30 - 15.05.2015 12:45","14983","11035"
"15.05.2015 12:45 - 15.05.2015 13:00","14915","10950"
"15.05.2015 13:00 - 15.05.2015 13:15","14914","10898"
"15.05.2015 13:15 - 15.05.2015 13:30","14986","10853"
"15.05.2015 13:30 - 15.05.2015 13:45","14971","10797"
"15.05.2015 13:45 - 15.05.2015 14:00","14979","10745"
"15.05.2015 14:00 - 15.05.2015 14:15","14939","10686"
"15.05.2015 14:15 - 15.05.2015 14:30","14971","10638"
"15.05.2015 14:30 - 15.05.2015 14:45","14786","10583"
"15.05.2015 14:45 - 15.05.2015 15:00","14825","10563"
"15.05.2015 15:00 - 15.05.2015 15:15","14847","10530"
"15.05.2015 15:15 - 15.05.2015 15:30","14813","10504"
"15.05.2015 15:30 - 15.05.2015 15:45","14533","10504"
"15.05.2015 15:45 - 15.05.2015 16:00","14750","10516"
"15.05.2015 16:00 - 15.05.2015 16:15","14814","10534"
"15.05.2015 16:15 - 15.05.2015 16:30","14787","10567"
"15.05.2015 16:30 - 15.05.2015 16:45","14787","10659"
"15.05.2015 16:45 - 15.05.2015 17:00","14754","10784"
"15.05.2015 17:00 - 15.05.2015 17:15","14763","10911"
"15.05.2015 17:15 - 15.05.2015 17:30","14626","11052"
"15.05.2015 17:30 - 15.05.2015 17:45","14616","11130"
"15.05.2015 17:45 - 15.05.2015 18:00","14604","11192"
"15.05.2015 18:00 - 15.05.2015 18:15","14537","11061"
"15.05.2015 18:15 - 15.05.2015 18:30","14375","10930"
"15.05.2015 18:30 - 15.05.2015 18:45","14227","10847"
"15.05.2015 18:45 - 15.05.2015 19:00","14129","10825"
"15.05.2015 19:00 - 15.05.2015 19:15","14128","10738"
"15.05.2015 19:15 - 15.05.2015 19:30","14180","10678"
"15.05.2015 19:30 - 15.05.2015 19:45","14082","10624"
"15.05.2015 19:45 - 15.05.2015 20:00","14007","10631"
"15.05.2015 20:00 - 15.05.2015 20:15","13980","10525"
"15.05.2015 20:15 - 15.05.2015 20:30","13920","10420"
"15.05.2015 20:30 - 15.05.2015 20:45","13914","10322"
"15.05.2015 20:45 - 15.05.2015 21:00","13857","10253"
"15.05.2015 21:00 - 15.05.2015 21:15","13784","10181"
"15.05.2015 21:15 - 15.05.2015 21:30","13846","10184"
"15.05.2015 21:30 - 15.05.2015 21:45","13821","10290"
"15.05.2015 21:45 - 15.05.2015 22:00","13719","10451"
"15.05.2015 22:00 - 15.05.2015 22:15","13594","10389"
"15.05.2015 22:15 - 15.05.2015 22:30","13505","10260"
"15.05.2015 22:30 - 15.05.2015 22:45","13306","10096"
"15.05.2015 22:45 - 15.05.2015 23:00","13085","9906"
"15.05.2015 23:00 - 15.05.2015 23:15","12935","9792"
"15.05.2015 23:15 - 15.05.2015 23:30","12902","9635"
"15.05.2015 23:30 - 15.05.2015 23:45","12737","9425"
"15.05.2015 23:45 - 16.05.2015 00:00","12543","9201"
"16.05.2015 00:00 - 16.05.2015 00:15","12310","8923"
"16.05.2015 00:15 - 16.05.2015 00:30","12068","8700"
"16.05.2015 00:30 - 16.05.2015 00:45","11784","8468"
"16.05.2015 00:45 - 16.05.2015 01:00","11527","8276"
"16.05.2015 01:00 - 16.05.2015 01:15","11345","8102"
"16.05.2015 01:15 - 16.05.2015 01:30","11235","7977"
"16.05.2015 01:30 - 16.05.2015 01:45","11111","7818"
"16.05.2015 01:45 - 16.05.2015 02:00","10951","7698"
"16.05.2015 02:00 - 16.05.2015 02:15","10855","7626"
"16.05.2015 02:15 - 16.05.2015 02:30","10751","7553"
"16.05.2015 02:30 - 16.05.2015 02:45","10595","7496"
"16.05.2015 02:45 - 16.05.2015 03:00","10495","7441"
"16.05.2015 03:00 - 16.05.2015 03:15","10463","7409"
"16.05.2015 03:15 - 16.05.2015 03:30","10451","7334"
"16.05.2015 03:30 - 16.05.2015 03:45","10426","7296"
"16.05.2015 03:45 - 16.05.2015 04:00","10402","7280"
"16.05.2015 04:00 - 16.05.2015 04:15","10353","7280"
"16.05.2015 04:15 - 16.05.2015 04:30","10329","7261"
"16.05.2015 04:30 - 16.05.2015 04:45","10310","7264"
"16.05.2015 04:45 - 16.05.2015 05:00","10308","7268"
"16.05.2015 05:00 - 16.05.2015 05:15","10295","7306"
"16.05.2015 05:15 - 16.05.2015 05:30","10285","7314"
"16.05.2015 05:30 - 16.05.2015 05:45","10239","7238"
"16.05.2015 05:45 - 16.05.2015 06:00","10223","7199"
"16.05.2015 06:00 - 16.05.2015 06:15","10163","7288"
"16.05.2015 06:15 - 16.05.2015 06:30","10148","7356"
"16.05.2015 06:30 - 16.05.2015 06:45","10192","7490"
"16.05.2015 06:45 - 16.05.2015 07:00","10287","7651"
"16.05.2015 07:00 - 16.05.2015 07:15","10422","7872"
"16.05.2015 07:15 - 16.05.2015 07:30","10644","8082"
"16.05.2015 07:30 - 16.05.2015 07:45","10863","8308"
"16.05.2015 07:45 - 16.05.2015 08:00","11052","8540"
"16.05.2015 08:00 - 16.05.2015 08:15","11155","8834"
"16.05.2015 08:15 - 16.05.2015 08:30","11163","9109"
"16.05.2015 08:30 - 16.05.2015 08:45","11379","9395"
"16.05.2015 08:45 - 16.05.2015 09:00","11553","9706"
"16.05.2015 09:00 - 16.05.2015 09:15","11680","10016"
"16.05.2015 09:15 - 16.05.2015 09:30","11820","10242"
"16.05.2015 09:30 - 16.05.2015 09:45","11967","10450"
"16.05.2015 09:45 - 16.05.2015 10:00","11956","10631"
"16.05.2015 10:00 - 16.05.2015 10:15","11938","10802"
"16.05.2015 10:15 - 16.05.2015 10:30","11992","10890"
"16.05.2015 10:30 - 16.05.2015 10:45","11925","10967"
"16.05.2015 10:45 - 16.05.2015 11:00","11902","11013"
"16.05.2015 11:00 - 16.05.2015 11:15","11893","11082"
"16.05.2015 11:15 - 16.05.2015 11:30","11994","11115"
"16.05.2015 11:30 - 16.05.2015 11:45","12007","11130"
"16.05.2015 11:45 - 16.05.2015 12:00","11993","11161"
"16.05.2015 12:00 - 16.05.2015 12:15","11966","11141"
"16.05.2015 12:15 - 16.05.2015 12:30","11935","11125"
"16.05.2015 12:30 - 16.05.2015 12:45","11853","11061"
"16.05.2015 12:45 - 16.05.2015 13:00","11780","11008"
"16.05.2015 13:00 - 16.05.2015 13:15","11764","10946"
"16.05.2015 13:15 - 16.05.2015 13:30","11771","10887"
"16.05.2015 13:30 - 16.05.2015 13:45","11781","10821"
"16.05.2015 13:45 - 16.05.2015 14:00","11747","10717"
"16.05.2015 14:00 - 16.05.2015 14:15","11687","10591"
"16.05.2015 14:15 - 16.05.2015 14:30","11685","10459"
"16.05.2015 14:30 - 16.05.2015 14:45","11686","10349"
"16.05.2015 14:45 - 16.05.2015 15:00","11666","10276"
"16.05.2015 15:00 - 16.05.2015 15:15","11613","10215"
"16.05.2015 15:15 - 16.05.2015 15:30","11618","10135"
"16.05.2015 15:30 - 16.05.2015 15:45","11543","10082"
"16.05.2015 15:45 - 16.05.2015 16:00","11547","10030"
"16.05.2015 16:00 - 16.05.2015 16:15","11544","9981"
"16.05.2015 16:15 - 16.05.2015 16:30","11524","9951"
"16.05.2015 16:30 - 16.05.2015 16:45","11553","9978"
"16.05.2015 16:45 - 16.05.2015 17:00","11649","10072"
"16.05.2015 17:00 - 16.05.2015 17:15","11738","10117"
"16.05.2015 17:15 - 16.05.2015 17:30","11725","10156"
"16.05.2015 17:30 - 16.05.2015 17:45","11715","10254"
"16.05.2015 17:45 - 16.05.2015 18:00","11819","10330"
"16.05.2015 18:00 - 16.05.2015 18:15","11840","10288"
"16.05.2015 18:15 - 16.05.2015 18:30","11756","10251"
"16.05.2015 18:30 - 16.05.2015 18:45","11651","10169"
"16.05.2015 18:45 - 16.05.2015 19:00","11623","10114"
"16.05.2015 19:00 - 16.05.2015 19:15","11667","10050"
"16.05.2015 19:15 - 16.05.2015 19:30","11766","10005"
"16.05.2015 19:30 - 16.05.2015 19:45","11807","9970"
"16.05.2015 19:45 - 16.05.2015 20:00","11735","9947"
"16.05.2015 20:00 - 16.05.2015 20:15","11740","9877"
"16.05.2015 20:15 - 16.05.2015 20:30","11819","9768"
"16.05.2015 20:30 - 16.05.2015 20:45","11890","9632"
"16.05.2015 20:45 - 16.05.2015 21:00","11837","9578"
"16.05.2015 21:00 - 16.05.2015 21:15","11839","9488"
"16.05.2015 21:15 - 16.05.2015 21:30","11943","9542"
"16.05.2015 21:30 - 16.05.2015 21:45","12172","9658"
"16.05.2015 21:45 - 16.05.2015 22:00","12236","9877"
"16.05.2015 22:00 - 16.05.2015 22:15","12209","9901"
"16.05.2015 22:15 - 16.05.2015 22:30","12187","9822"
"16.05.2015 22:30 - 16.05.2015 22:45","12112","9665"
"16.05.2015 22:45 - 16.05.2015 23:00","11933","9499"
"16.05.2015 23:00 - 16.05.2015 23:15","11777","9312"
"16.05.2015 23:15 - 16.05.2015 23:30","11701","9152"
"16.05.2015 23:30 - 16.05.2015 23:45","11550","8928"
