"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"03.01.2015 03:45 - 03.01.2015 04:00","40148","36189"
"03.01.2015 04:00 - 03.01.2015 04:15","40023","36567"
"03.01.2015 04:15 - 03.01.2015 04:30","39863","36393"
"03.01.2015 04:30 - 03.01.2015 04:45","40447","36376"
"03.01.2015 04:45 - 03.01.2015 05:00","40550","36477"
"03.01.2015 05:00 - 03.01.2015 05:15","40246","37038"
"03.01.2015 05:15 - 03.01.2015 05:30","39931","36641"
"03.01.2015 05:30 - 03.01.2015 05:45","39975","36468"
"03.01.2015 05:45 - 03.01.2015 06:00","39897","37211"
"03.01.2015 06:00 - 03.01.2015 06:15","39903","37386"
"03.01.2015 06:15 - 03.01.2015 06:30","39806","37499"
"03.01.2015 06:30 - 03.01.2015 06:45","40229","38233"
"03.01.2015 06:45 - 03.01.2015 07:00","40915","39174"
"03.01.2015 07:00 - 03.01.2015 07:15","41666","39653"
"03.01.2015 07:15 - 03.01.2015 07:30","42334","40333"
"03.01.2015 07:30 - 03.01.2015 07:45","43304","41124"
"03.01.2015 07:45 - 03.01.2015 08:00","44222","42165"
"03.01.2015 08:00 - 03.01.2015 08:15","45407","42982"
"03.01.2015 08:15 - 03.01.2015 08:30","46117","43589"
"03.01.2015 08:30 - 03.01.2015 08:45","47016","44491"
"03.01.2015 08:45 - 03.01.2015 09:00","47684","45415"
"03.01.2015 09:00 - 03.01.2015 09:15","48696","46402"
"03.01.2015 09:15 - 03.01.2015 09:30","49523","46832"
"03.01.2015 09:30 - 03.01.2015 09:45","49978","47853"
"03.01.2015 09:45 - 03.01.2015 10:00","50434","48597"
"03.01.2015 10:00 - 03.01.2015 10:15","51226","49227"
"03.01.2015 10:15 - 03.01.2015 10:30","51655","49646"
"03.01.2015 10:30 - 03.01.2015 10:45","51835","49840"
"03.01.2015 10:45 - 03.01.2015 11:00","52238","50309"
"03.01.2015 11:00 - 03.01.2015 11:15","52610","50808"
"03.01.2015 11:15 - 03.01.2015 11:30","52995","51497"
"03.01.2015 11:30 - 03.01.2015 11:45","53251","52407"
"03.01.2015 11:45 - 03.01.2015 12:00","52996","52955"
"03.01.2015 12:00 - 03.01.2015 12:15","52893","51814"
"03.01.2015 12:15 - 03.01.2015 12:30","52711","51711"
"03.01.2015 12:30 - 03.01.2015 12:45","52402","52696"
"03.01.2015 12:45 - 03.01.2015 13:00","52244","52600"
"03.01.2015 13:00 - 03.01.2015 13:15","51927","52697"
"03.01.2015 13:15 - 03.01.2015 13:30","51638","52230"
"03.01.2015 13:30 - 03.01.2015 13:45","51158","52114"
"03.01.2015 13:45 - 03.01.2015 14:00","51092","51545"
"03.01.2015 14:00 - 03.01.2015 14:15","50591","51223"
"03.01.2015 14:15 - 03.01.2015 14:30","50359","50786"
"03.01.2015 14:30 - 03.01.2015 14:45","50050","50523"
"03.01.2015 14:45 - 03.01.2015 15:00","49957","50176"
"03.01.2015 15:00 - 03.01.2015 15:15","49941","50339"
"03.01.2015 15:15 - 03.01.2015 15:30","49516","50253"
"03.01.2015 15:30 - 03.01.2015 15:45","48944","50606"
"03.01.2015 15:45 - 03.01.2015 16:00","49600","50714"
"03.01.2015 16:00 - 03.01.2015 16:15","50218","51103"
"03.01.2015 16:15 - 03.01.2015 16:30","50515","52537"
"03.01.2015 16:30 - 03.01.2015 16:45","50811","53400"
"03.01.2015 16:45 - 03.01.2015 17:00","51423","54242"
"03.01.2015 17:00 - 03.01.2015 17:15","51766","55416"
"03.01.2015 17:15 - 03.01.2015 17:30","52655","55657"
"03.01.2015 17:30 - 03.01.2015 17:45","52902","56105"
"03.01.2015 17:45 - 03.01.2015 18:00","52953","56236"
"03.01.2015 18:00 - 03.01.2015 18:15","53336","56513"
"03.01.2015 18:15 - 03.01.2015 18:30","52916","56619"
"03.01.2015 18:30 - 03.01.2015 18:45","52814","56187"
"03.01.2015 18:45 - 03.01.2015 19:00","52744","55719"
"03.01.2015 19:00 - 03.01.2015 19:15","52548","55473"
"03.01.2015 19:15 - 03.01.2015 19:30","52191","55843"
"03.01.2015 19:30 - 03.01.2015 19:45","51750","54551"
"03.01.2015 19:45 - 03.01.2015 20:00","51075","54203"
"03.01.2015 20:00 - 03.01.2015 20:15","50359","52837"
"03.01.2015 20:15 - 03.01.2015 20:30","49404","51295"
"03.01.2015 20:30 - 03.01.2015 20:45","48400","49946"
"03.01.2015 20:45 - 03.01.2015 21:00","47996","49126"
"03.01.2015 21:00 - 03.01.2015 21:15","47723","48655"
"03.01.2015 21:15 - 03.01.2015 21:30","47440","48449"
"03.01.2015 21:30 - 03.01.2015 21:45","47088","48236"
"03.01.2015 21:45 - 03.01.2015 22:00","46858","48095"
"03.01.2015 22:00 - 03.01.2015 22:15","47105","48303"
"03.01.2015 22:15 - 03.01.2015 22:30","47365","48673"
"03.01.2015 22:30 - 03.01.2015 22:45","46976","47958"
"03.01.2015 22:45 - 03.01.2015 23:00","46197","46937"
"03.01.2015 23:00 - 03.01.2015 23:15","45781","46065"
"03.01.2015 23:15 - 03.01.2015 23:30","44411","45914"
"03.01.2015 23:30 - 03.01.2015 23:45","43648","45022"
"03.01.2015 23:45 - 04.01.2015 00:00","43499","44707"
"04.01.2015 00:00 - 04.01.2015 00:15","42918","43706"
"04.01.2015 00:15 - 04.01.2015 00:30","41369","43055"
"04.01.2015 00:30 - 04.01.2015 00:45","40284","42583"
"04.01.2015 00:45 - 04.01.2015 01:00","40007","41880"
"04.01.2015 01:00 - 04.01.2015 01:15","39474","38991"
"04.01.2015 01:15 - 04.01.2015 01:30","39227","38723"
