"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"19.07.2015 16:15 - 19.07.2015 16:30","49730","45364"
"19.07.2015 16:30 - 19.07.2015 16:45","50008","45845"
"19.07.2015 16:45 - 19.07.2015 17:00","50197","45806"
"19.07.2015 17:00 - 19.07.2015 17:15","50293","46048"
"19.07.2015 17:15 - 19.07.2015 17:30","50603","46535"
"19.07.2015 17:30 - 19.07.2015 17:45","50134","46554"
"19.07.2015 17:45 - 19.07.2015 18:00","50304","46972"
"19.07.2015 18:00 - 19.07.2015 18:15","50555","46969"
"19.07.2015 18:15 - 19.07.2015 18:30","50389","46729"
"19.07.2015 18:30 - 19.07.2015 18:45","50514","47080"
"19.07.2015 18:45 - 19.07.2015 19:00","50248","46710"
"19.07.2015 19:00 - 19.07.2015 19:15","50415","46637"
"19.07.2015 19:15 - 19.07.2015 19:30","49917","46409"
"19.07.2015 19:30 - 19.07.2015 19:45","49489","46511"
"19.07.2015 19:45 - 19.07.2015 20:00","48950","46306"
"19.07.2015 20:00 - 19.07.2015 20:15","49010","46160"
"19.07.2015 20:15 - 19.07.2015 20:30","48193","45782"
"19.07.2015 20:30 - 19.07.2015 20:45","48276","45662"
"19.07.2015 20:45 - 19.07.2015 21:00","47629","45530"
"19.07.2015 21:00 - 19.07.2015 21:15","47407","45488"
"19.07.2015 21:15 - 19.07.2015 21:30","47260","45399"
"19.07.2015 21:30 - 19.07.2015 21:45","47196","45784"
"19.07.2015 21:45 - 19.07.2015 22:00","47503","46523"
"19.07.2015 22:00 - 19.07.2015 22:15","47705","47159"
"19.07.2015 22:15 - 19.07.2015 22:30","47405","46923"
"19.07.2015 22:30 - 19.07.2015 22:45","46450","46072"
"19.07.2015 22:45 - 19.07.2015 23:00","45625","45105"
"19.07.2015 23:00 - 19.07.2015 23:15","44519","44381"
"19.07.2015 23:15 - 19.07.2015 23:30","43716","43580"
"19.07.2015 23:30 - 19.07.2015 23:45","43110","43164"
"19.07.2015 23:45 - 20.07.2015 00:00","42613","42256"
"20.07.2015 00:00 - 20.07.2015 00:15","42206","41756"
"20.07.2015 00:15 - 20.07.2015 00:30","41939","41431"
"20.07.2015 00:30 - 20.07.2015 00:45","41327","41010"
"20.07.2015 00:45 - 20.07.2015 01:00","40733","40432"
"20.07.2015 01:00 - 20.07.2015 01:15","40204","40041"
"20.07.2015 01:15 - 20.07.2015 01:30","39695","39679"
"20.07.2015 01:30 - 20.07.2015 01:45","39273","39566"
"20.07.2015 01:45 - 20.07.2015 02:00","39107","39183"
"20.07.2015 02:00 - 20.07.2015 02:15","38995","38998"
"20.07.2015 02:15 - 20.07.2015 02:30","38788","38777"
"20.07.2015 02:30 - 20.07.2015 02:45","38773","38729"
"20.07.2015 02:45 - 20.07.2015 03:00","38817","38796"
"20.07.2015 03:00 - 20.07.2015 03:15","39154","39053"
"20.07.2015 03:15 - 20.07.2015 03:30","38894","38900"
"20.07.2015 03:30 - 20.07.2015 03:45","39148","38943"
"20.07.2015 03:45 - 20.07.2015 04:00","39055","39244"
"20.07.2015 04:00 - 20.07.2015 04:15","39554","39680"
"20.07.2015 04:15 - 20.07.2015 04:30","39802","40170"
"20.07.2015 04:30 - 20.07.2015 04:45","40349","40725"
"20.07.2015 04:45 - 20.07.2015 05:00","40784","41118"
"20.07.2015 05:00 - 20.07.2015 05:15","42149","42518"
"20.07.2015 05:15 - 20.07.2015 05:30","42615","43183"
"20.07.2015 05:30 - 20.07.2015 05:45","43842","44058"
"20.07.2015 05:45 - 20.07.2015 06:00","45427","45605"
"20.07.2015 06:00 - 20.07.2015 06:15","48727","48744"
"20.07.2015 06:15 - 20.07.2015 06:30","50890","51233"
"20.07.2015 06:30 - 20.07.2015 06:45","52499","53033"
"20.07.2015 06:45 - 20.07.2015 07:00","54228","54668"
"20.07.2015 07:00 - 20.07.2015 07:15","56377","56768"
"20.07.2015 07:15 - 20.07.2015 07:30","57757","57985"
"20.07.2015 07:30 - 20.07.2015 07:45","58828","59180"
"20.07.2015 07:45 - 20.07.2015 08:00","59879","60169"
"20.07.2015 08:00 - 20.07.2015 08:15","61549","61267"
"20.07.2015 08:15 - 20.07.2015 08:30","62086","61957"
"20.07.2015 08:30 - 20.07.2015 08:45","62495","62401"
"20.07.2015 08:45 - 20.07.2015 09:00","62772","62539"
"20.07.2015 09:00 - 20.07.2015 09:15","62737","62634"
"20.07.2015 09:15 - 20.07.2015 09:30","63218","63140"
"20.07.2015 09:30 - 20.07.2015 09:45","63586","63919"
"20.07.2015 09:45 - 20.07.2015 10:00","64055","64429"
"20.07.2015 10:00 - 20.07.2015 10:15","64431","64987"
"20.07.2015 10:15 - 20.07.2015 10:30","64822","65459"
"20.07.2015 10:30 - 20.07.2015 10:45","65248","65913"
"20.07.2015 10:45 - 20.07.2015 11:00","65851","66463"
"20.07.2015 11:00 - 20.07.2015 11:15","66185","66745"
"20.07.2015 11:15 - 20.07.2015 11:30","66522","67129"
"20.07.2015 11:30 - 20.07.2015 11:45","66960","67543"
"20.07.2015 11:45 - 20.07.2015 12:00","67239","67487"
"20.07.2015 12:00 - 20.07.2015 12:15","66656","66599"
"20.07.2015 12:15 - 20.07.2015 12:30","66435","66366"
"20.07.2015 12:30 - 20.07.2015 12:45","66456","66788"
"20.07.2015 12:45 - 20.07.2015 13:00","66632","66972"
"20.07.2015 13:00 - 20.07.2015 13:15","66944","67234"
"20.07.2015 13:15 - 20.07.2015 13:30","66383","66850"
"20.07.2015 13:30 - 20.07.2015 13:45","65669","66163"
"20.07.2015 13:45 - 20.07.2015 14:00","65269","65358"
"20.07.2015 14:00 - 20.07.2015 14:15","64750","65005"
"20.07.2015 14:15 - 20.07.2015 14:30","64456","64639"
"20.07.2015 14:30 - 20.07.2015 14:45","64243","64519"
"20.07.2015 14:45 - 20.07.2015 15:00","64055","64418"
"20.07.2015 15:00 - 20.07.2015 15:15","63834","64036"
"20.07.2015 15:15 - 20.07.2015 15:30","63152","63769"
"20.07.2015 15:30 - 20.07.2015 15:45","63099","63467"
"20.07.2015 15:45 - 20.07.2015 16:00","62237","62995"
"20.07.2015 16:00 - 20.07.2015 16:15","61778","62582"
"20.07.2015 16:15 - 20.07.2015 16:30","61628","62566"
"20.07.2015 16:30 - 20.07.2015 16:45","61485","62418"
"20.07.2015 16:45 - 20.07.2015 17:00","61472","62153"
"20.07.2015 17:00 - 20.07.2015 17:15","61016","61717"
"20.07.2015 17:15 - 20.07.2015 17:30","61033","61812"
"20.07.2015 17:30 - 20.07.2015 17:45","61207","61939"
"20.07.2015 17:45 - 20.07.2015 18:00","61356","61837"
"20.07.2015 18:00 - 20.07.2015 18:15","60591","61294"
"20.07.2015 18:15 - 20.07.2015 18:30","60493","61272"
"20.07.2015 18:30 - 20.07.2015 18:45","60747","61264"
"20.07.2015 18:45 - 20.07.2015 19:00","60898","61306"
"20.07.2015 19:00 - 20.07.2015 19:15","60639","60674"
"20.07.2015 19:15 - 20.07.2015 19:30","59843","60112"
"20.07.2015 19:30 - 20.07.2015 19:45","59560","59747"
"20.07.2015 19:45 - 20.07.2015 20:00","59108","59392"
"20.07.2015 20:00 - 20.07.2015 20:15","58237","58338"
"20.07.2015 20:15 - 20.07.2015 20:30","57196","57643"
"20.07.2015 20:30 - 20.07.2015 20:45","56474","57086"
"20.07.2015 20:45 - 20.07.2015 21:00","56087","56571"
"20.07.2015 21:00 - 20.07.2015 21:15","55533","55983"
"20.07.2015 21:15 - 20.07.2015 21:30","54873","55647"
"20.07.2015 21:30 - 20.07.2015 21:45","54448","55439"
"20.07.2015 21:45 - 20.07.2015 22:00","54339","55529"
"20.07.2015 22:00 - 20.07.2015 22:15","53650","55005"
"20.07.2015 22:15 - 20.07.2015 22:30","52955","54136"
"20.07.2015 22:30 - 20.07.2015 22:45","51660","52875"
"20.07.2015 22:45 - 20.07.2015 23:00","50563","51587"
"20.07.2015 23:00 - 20.07.2015 23:15","49326","50439"
"20.07.2015 23:15 - 20.07.2015 23:30","48024","49416"
"20.07.2015 23:30 - 20.07.2015 23:45","47108","48582"
"20.07.2015 23:45 - 21.07.2015 00:00","46359","47622"
"21.07.2015 00:00 - 21.07.2015 00:15","44387","46615"
"21.07.2015 00:15 - 21.07.2015 00:30","44709","45987"
"21.07.2015 00:30 - 21.07.2015 00:45","44264","45543"
"21.07.2015 00:45 - 21.07.2015 01:00","44066","44949"
"21.07.2015 01:00 - 21.07.2015 01:15","43051","44456"
"21.07.2015 01:15 - 21.07.2015 01:30","42977","43937"
"21.07.2015 01:30 - 21.07.2015 01:45","42609","43621"
"21.07.2015 01:45 - 21.07.2015 02:00","42293","43262"
"21.07.2015 02:00 - 21.07.2015 02:15","41625","43139"
"21.07.2015 02:15 - 21.07.2015 02:30","41293","42985"
"21.07.2015 02:30 - 21.07.2015 02:45","41363","43081"
"21.07.2015 02:45 - 21.07.2015 03:00","41423","43240"
"21.07.2015 03:00 - 21.07.2015 03:15","41454","43302"
"21.07.2015 03:15 - 21.07.2015 03:30","41464","43407"
"21.07.2015 03:30 - 21.07.2015 03:45","41717","43275"
"21.07.2015 03:45 - 21.07.2015 04:00","41767","43354"
"21.07.2015 04:00 - 21.07.2015 04:15","42199","44056"
"21.07.2015 04:15 - 21.07.2015 04:30","42562","44320"
"21.07.2015 04:30 - 21.07.2015 04:45","42699","44653"
"21.07.2015 04:45 - 21.07.2015 05:00","43183","44937"
"21.07.2015 05:00 - 21.07.2015 05:15","44665","46197"
"21.07.2015 05:15 - 21.07.2015 05:30","44756","46617"
"21.07.2015 05:30 - 21.07.2015 05:45","45860","47238"
"21.07.2015 05:45 - 21.07.2015 06:00","47104","48611"
"21.07.2015 06:00 - 21.07.2015 06:15","50081","51558"
"21.07.2015 06:15 - 21.07.2015 06:30","52252","53962"
"21.07.2015 06:30 - 21.07.2015 06:45","53767","55494"
"21.07.2015 06:45 - 21.07.2015 07:00","55352","56760"
"21.07.2015 07:00 - 21.07.2015 07:15","57561","58897"
"21.07.2015 07:15 - 21.07.2015 07:30","58702","60441"
"21.07.2015 07:30 - 21.07.2015 07:45","59808","61545"
"21.07.2015 07:45 - 21.07.2015 08:00","60834","62612"
"21.07.2015 08:00 - 21.07.2015 08:15","62363","63555"
"21.07.2015 08:15 - 21.07.2015 08:30","62955","64224"
"21.07.2015 08:30 - 21.07.2015 08:45","63170","64642"
"21.07.2015 08:45 - 21.07.2015 09:00","63389","64927"
"21.07.2015 09:00 - 21.07.2015 09:15","63320","64935"
"21.07.2015 09:15 - 21.07.2015 09:30","63875","65226"
"21.07.2015 09:30 - 21.07.2015 09:45","64292","66065"
"21.07.2015 09:45 - 21.07.2015 10:00","64501","66498"
"21.07.2015 10:00 - 21.07.2015 10:15","65305","66948"
"21.07.2015 10:15 - 21.07.2015 10:30","65572","67521"
"21.07.2015 10:30 - 21.07.2015 10:45","66277","67798"
"21.07.2015 10:45 - 21.07.2015 11:00","66711","68342"
"21.07.2015 11:00 - 21.07.2015 11:15","66987","68546"
"21.07.2015 11:15 - 21.07.2015 11:30","67520","69084"
"21.07.2015 11:30 - 21.07.2015 11:45","67767","69347"
"21.07.2015 11:45 - 21.07.2015 12:00","67972","69286"
"21.07.2015 12:00 - 21.07.2015 12:15","67573","68642"
"21.07.2015 12:15 - 21.07.2015 12:30","67216","68512"
"21.07.2015 12:30 - 21.07.2015 12:45","67278","68712"
"21.07.2015 12:45 - 21.07.2015 13:00","67670","68809"
"21.07.2015 13:00 - 21.07.2015 13:15","67651","68876"
"21.07.2015 13:15 - 21.07.2015 13:30","66664","68183"
"21.07.2015 13:30 - 21.07.2015 13:45","66227","67848"
"21.07.2015 13:45 - 21.07.2015 14:00","65883","67694"
"21.07.2015 14:00 - 21.07.2015 14:15","65055","66814"
"21.07.2015 14:15 - 21.07.2015 14:30","65276","67020"
"21.07.2015 14:30 - 21.07.2015 14:45","64959","66530"
"21.07.2015 14:45 - 21.07.2015 15:00","64640","66015"
"21.07.2015 15:00 - 21.07.2015 15:15","64335","66048"
"21.07.2015 15:15 - 21.07.2015 15:30","63777","65709"
"21.07.2015 15:30 - 21.07.2015 15:45","63856","65716"
"21.07.2015 15:45 - 21.07.2015 16:00","62666","65768"
"21.07.2015 16:00 - 21.07.2015 16:15","62728","65290"
"21.07.2015 16:15 - 21.07.2015 16:30","62933","65608"
"21.07.2015 16:30 - 21.07.2015 16:45","62355","64755"
"21.07.2015 16:45 - 21.07.2015 17:00","61962","64227"
"21.07.2015 17:00 - 21.07.2015 17:15","61796","64001"
"21.07.2015 17:15 - 21.07.2015 17:30","61833","64005"
"21.07.2015 17:30 - 21.07.2015 17:45","61642","63671"
"21.07.2015 17:45 - 21.07.2015 18:00","61536","63629"
"21.07.2015 18:00 - 21.07.2015 18:15","60743","62951"
"21.07.2015 18:15 - 21.07.2015 18:30","60323","62480"
"21.07.2015 18:30 - 21.07.2015 18:45","60763","62565"
"21.07.2015 18:45 - 21.07.2015 19:00","60858","62394"
"21.07.2015 19:00 - 21.07.2015 19:15","60596","62075"
"21.07.2015 19:15 - 21.07.2015 19:30","59871","61694"
"21.07.2015 19:30 - 21.07.2015 19:45","59494","61098"
"21.07.2015 19:45 - 21.07.2015 20:00","58834","60499"
"21.07.2015 20:00 - 21.07.2015 20:15","57986","59742"
"21.07.2015 20:15 - 21.07.2015 20:30","57009","59101"
"21.07.2015 20:30 - 21.07.2015 20:45","56050","58266"
"21.07.2015 20:45 - 21.07.2015 21:00","55622","57588"
"21.07.2015 21:00 - 21.07.2015 21:15","55191","57096"
"21.07.2015 21:15 - 21.07.2015 21:30","54810","56694"
"21.07.2015 21:30 - 21.07.2015 21:45","54454","56598"
"21.07.2015 21:45 - 21.07.2015 22:00","54066","56441"
"21.07.2015 22:00 - 21.07.2015 22:15","53674","56223"
"21.07.2015 22:15 - 21.07.2015 22:30","52944","55499"
"21.07.2015 22:30 - 21.07.2015 22:45","51555","54289"
"21.07.2015 22:45 - 21.07.2015 23:00","50571","53132"
"21.07.2015 23:00 - 21.07.2015 23:15","49532","51999"
"21.07.2015 23:15 - 21.07.2015 23:30","48321","50752"
"21.07.2015 23:30 - 21.07.2015 23:45","47262","49617"
"21.07.2015 23:45 - 22.07.2015 00:00","46311","48875"
"22.07.2015 00:00 - 22.07.2015 00:15","46716","47866"
"22.07.2015 00:15 - 22.07.2015 00:30","45909","47347"
"22.07.2015 00:30 - 22.07.2015 00:45","45505","47002"
"22.07.2015 00:45 - 22.07.2015 01:00","45175","46228"
"22.07.2015 01:00 - 22.07.2015 01:15","44184","45658"
"22.07.2015 01:15 - 22.07.2015 01:30","43888","45001"
"22.07.2015 01:30 - 22.07.2015 01:45","43459","44830"
"22.07.2015 01:45 - 22.07.2015 02:00","43185","44538"
"22.07.2015 02:00 - 22.07.2015 02:15","43090","43995"
"22.07.2015 02:15 - 22.07.2015 02:30","42834","43686"
"22.07.2015 02:30 - 22.07.2015 02:45","42706","43609"
"22.07.2015 02:45 - 22.07.2015 03:00","42431","43804"
"22.07.2015 03:00 - 22.07.2015 03:15","42635","44056"
"22.07.2015 03:15 - 22.07.2015 03:30","42959","44067"
"22.07.2015 03:30 - 22.07.2015 03:45","43100","43954"
"22.07.2015 03:45 - 22.07.2015 04:00","43052","44005"
"22.07.2015 04:00 - 22.07.2015 04:15","43682","44354"
"22.07.2015 04:15 - 22.07.2015 04:30","43897","44653"
"22.07.2015 04:30 - 22.07.2015 04:45","44002","44851"
"22.07.2015 04:45 - 22.07.2015 05:00","44722","45285"
"22.07.2015 05:00 - 22.07.2015 05:15","46367","46512"
"22.07.2015 05:15 - 22.07.2015 05:30","46277","47148"
"22.07.2015 05:30 - 22.07.2015 05:45","47856","47770"
"22.07.2015 05:45 - 22.07.2015 06:00","48807","49004"
"22.07.2015 06:00 - 22.07.2015 06:15","51389","51923"
"22.07.2015 06:15 - 22.07.2015 06:30","53315","54270"
"22.07.2015 06:30 - 22.07.2015 06:45","55661","56027"
"22.07.2015 06:45 - 22.07.2015 07:00","56577","57663"
"22.07.2015 07:00 - 22.07.2015 07:15","58779","59698"
"22.07.2015 07:15 - 22.07.2015 07:30","58678","60946"
"22.07.2015 07:30 - 22.07.2015 07:45","60032","62190"
"22.07.2015 07:45 - 22.07.2015 08:00","60312","63080"
"22.07.2015 08:00 - 22.07.2015 08:15","61634","64154"
"22.07.2015 08:15 - 22.07.2015 08:30","62390","64706"
"22.07.2015 08:30 - 22.07.2015 08:45","62615","65195"
"22.07.2015 08:45 - 22.07.2015 09:00","63169","65528"
"22.07.2015 09:00 - 22.07.2015 09:15","63050","65726"
"22.07.2015 09:15 - 22.07.2015 09:30","63451","65993"
"22.07.2015 09:30 - 22.07.2015 09:45","64085","66542"
"22.07.2015 09:45 - 22.07.2015 10:00","64066","67014"
"22.07.2015 10:00 - 22.07.2015 10:15","64667","67420"
"22.07.2015 10:15 - 22.07.2015 10:30","64769","67832"
"22.07.2015 10:30 - 22.07.2015 10:45","65568","68078"
"22.07.2015 10:45 - 22.07.2015 11:00","65959","68633"
"22.07.2015 11:00 - 22.07.2015 11:15","66726","68932"
"22.07.2015 11:15 - 22.07.2015 11:30","67100","69330"
"22.07.2015 11:30 - 22.07.2015 11:45","67126","69670"
"22.07.2015 11:45 - 22.07.2015 12:00","67131","69773"
"22.07.2015 12:00 - 22.07.2015 12:15","66494","68907"
"22.07.2015 12:15 - 22.07.2015 12:30","66717","68765"
"22.07.2015 12:30 - 22.07.2015 12:45","65877","68818"
"22.07.2015 12:45 - 22.07.2015 13:00","66307","68615"
"22.07.2015 13:00 - 22.07.2015 13:15","66205","68584"
"22.07.2015 13:15 - 22.07.2015 13:30","65683","68347"
"22.07.2015 13:30 - 22.07.2015 13:45","65394","68014"
"22.07.2015 13:45 - 22.07.2015 14:00","64863","67258"
"22.07.2015 14:00 - 22.07.2015 14:15","63838","66817"
"22.07.2015 14:15 - 22.07.2015 14:30","63942","66795"
"22.07.2015 14:30 - 22.07.2015 14:45","63491","67097"
"22.07.2015 14:45 - 22.07.2015 15:00","64020","67109"
"22.07.2015 15:00 - 22.07.2015 15:15","63566","66569"
"22.07.2015 15:15 - 22.07.2015 15:30","63265","65995"
"22.07.2015 15:30 - 22.07.2015 15:45","62990","65589"
"22.07.2015 15:45 - 22.07.2015 16:00","62076","65309"
"22.07.2015 16:00 - 22.07.2015 16:15","61895","64702"
"22.07.2015 16:15 - 22.07.2015 16:30","61644","64352"
"22.07.2015 16:30 - 22.07.2015 16:45","61403","63652"
"22.07.2015 16:45 - 22.07.2015 17:00","61480","63168"
"22.07.2015 17:00 - 22.07.2015 17:15","61107","62945"
"22.07.2015 17:15 - 22.07.2015 17:30","60977","62974"
"22.07.2015 17:30 - 22.07.2015 17:45","61060","62775"
"22.07.2015 17:45 - 22.07.2015 18:00","60789","62727"
"22.07.2015 18:00 - 22.07.2015 18:15","60339","62230"
"22.07.2015 18:15 - 22.07.2015 18:30","59973","62003"
"22.07.2015 18:30 - 22.07.2015 18:45","60526","61952"
"22.07.2015 18:45 - 22.07.2015 19:00","60240","62048"
"22.07.2015 19:00 - 22.07.2015 19:15","60400","61754"
"22.07.2015 19:15 - 22.07.2015 19:30","59959","61343"
"22.07.2015 19:30 - 22.07.2015 19:45","59638","60666"
"22.07.2015 19:45 - 22.07.2015 20:00","59180","60280"
"22.07.2015 20:00 - 22.07.2015 20:15","58000","59157"
"22.07.2015 20:15 - 22.07.2015 20:30","57441","58195"
"22.07.2015 20:30 - 22.07.2015 20:45","56759","57290"
"22.07.2015 20:45 - 22.07.2015 21:00","56497","56989"
"22.07.2015 21:00 - 22.07.2015 21:15","56049","56499"
"22.07.2015 21:15 - 22.07.2015 21:30","55941","56153"
"22.07.2015 21:30 - 22.07.2015 21:45","55845","56023"
"22.07.2015 21:45 - 22.07.2015 22:00","55337","55798"
"22.07.2015 22:00 - 22.07.2015 22:15","54570","55321"
"22.07.2015 22:15 - 22.07.2015 22:30","54171","54665"
"22.07.2015 22:30 - 22.07.2015 22:45","52919","53465"
"22.07.2015 22:45 - 22.07.2015 23:00","51580","51965"
"22.07.2015 23:00 - 22.07.2015 23:15","50335","50813"
"22.07.2015 23:15 - 22.07.2015 23:30","49457","49834"
"22.07.2015 23:30 - 22.07.2015 23:45","48516","49097"
"22.07.2015 23:45 - 23.07.2015 00:00","47577","48047"
"23.07.2015 00:00 - 23.07.2015 00:15","47073","46921"
"23.07.2015 00:15 - 23.07.2015 00:30","46382","46357"
"23.07.2015 00:30 - 23.07.2015 00:45","46077","45904"
"23.07.2015 00:45 - 23.07.2015 01:00","45824","45534"
"23.07.2015 01:00 - 23.07.2015 01:15","44694","44878"
"23.07.2015 01:15 - 23.07.2015 01:30","44283","44467"
"23.07.2015 01:30 - 23.07.2015 01:45","43731","44205"
"23.07.2015 01:45 - 23.07.2015 02:00","43667","43898"
"23.07.2015 02:00 - 23.07.2015 02:15","43369","43373"
"23.07.2015 02:15 - 23.07.2015 02:30","43207","43267"
"23.07.2015 02:30 - 23.07.2015 02:45","43116","43188"
"23.07.2015 02:45 - 23.07.2015 03:00","42841","43209"
"23.07.2015 03:00 - 23.07.2015 03:15","43074","43224"
"23.07.2015 03:15 - 23.07.2015 03:30","43301","43295"
"23.07.2015 03:30 - 23.07.2015 03:45","43475","43301"
"23.07.2015 03:45 - 23.07.2015 04:00","43303","43391"
"23.07.2015 04:00 - 23.07.2015 04:15","43713","43781"
"23.07.2015 04:15 - 23.07.2015 04:30","43949","44084"
"23.07.2015 04:30 - 23.07.2015 04:45","43922","44404"
"23.07.2015 04:45 - 23.07.2015 05:00","44487","44892"
"23.07.2015 05:00 - 23.07.2015 05:15","45802","46125"
"23.07.2015 05:15 - 23.07.2015 05:30","45760","46636"
"23.07.2015 05:30 - 23.07.2015 05:45","47033","47473"
"23.07.2015 05:45 - 23.07.2015 06:00","47783","48621"
"23.07.2015 06:00 - 23.07.2015 06:15","50679","51608"
"23.07.2015 06:15 - 23.07.2015 06:30","52978","53836"
"23.07.2015 06:30 - 23.07.2015 06:45","55006","55390"
"23.07.2015 06:45 - 23.07.2015 07:00","56565","56791"
"23.07.2015 07:00 - 23.07.2015 07:15","58192","58721"
"23.07.2015 07:15 - 23.07.2015 07:30","59500","59678"
"23.07.2015 07:30 - 23.07.2015 07:45","60792","60822"
"23.07.2015 07:45 - 23.07.2015 08:00","61583","61762"
"23.07.2015 08:00 - 23.07.2015 08:15","63028","62876"
"23.07.2015 08:15 - 23.07.2015 08:30","63369","63318"
"23.07.2015 08:30 - 23.07.2015 08:45","63169","63708"
"23.07.2015 08:45 - 23.07.2015 09:00","64280","64248"
"23.07.2015 09:00 - 23.07.2015 09:15","64305","64098"
"23.07.2015 09:15 - 23.07.2015 09:30","64134","64527"
"23.07.2015 09:30 - 23.07.2015 09:45","65138","64815"
"23.07.2015 09:45 - 23.07.2015 10:00","65066","65143"
"23.07.2015 10:00 - 23.07.2015 10:15","65580","65210"
"23.07.2015 10:15 - 23.07.2015 10:30","65188","65699"
"23.07.2015 10:30 - 23.07.2015 10:45","66468","65939"
"23.07.2015 10:45 - 23.07.2015 11:00","66604","66522"
"23.07.2015 11:00 - 23.07.2015 11:15","67444","67081"
"23.07.2015 11:15 - 23.07.2015 11:30","67682","67797"
"23.07.2015 11:30 - 23.07.2015 11:45","68047","68107"
"23.07.2015 11:45 - 23.07.2015 12:00","68563","68487"
"23.07.2015 12:00 - 23.07.2015 12:15","67875","68040"
"23.07.2015 12:15 - 23.07.2015 12:30","67306","67449"
"23.07.2015 12:30 - 23.07.2015 12:45","67157","67622"
"23.07.2015 12:45 - 23.07.2015 13:00","68048","67432"
"23.07.2015 13:00 - 23.07.2015 13:15","67703","66956"
"23.07.2015 13:15 - 23.07.2015 13:30","66980","66608"
"23.07.2015 13:30 - 23.07.2015 13:45","66675","65769"
"23.07.2015 13:45 - 23.07.2015 14:00","66085","65328"
"23.07.2015 14:00 - 23.07.2015 14:15","65606","65006"
"23.07.2015 14:15 - 23.07.2015 14:30","65680","64850"
"23.07.2015 14:30 - 23.07.2015 14:45","65380","64578"
"23.07.2015 14:45 - 23.07.2015 15:00","65178","64445"
"23.07.2015 15:00 - 23.07.2015 15:15","64578","63953"
"23.07.2015 15:15 - 23.07.2015 15:30","64190","63630"
"23.07.2015 15:30 - 23.07.2015 15:45","63648","63221"
"23.07.2015 15:45 - 23.07.2015 16:00","62469","63135"
"23.07.2015 16:00 - 23.07.2015 16:15","62868","62976"
"23.07.2015 16:15 - 23.07.2015 16:30","61979","62567"
"23.07.2015 16:30 - 23.07.2015 16:45","62574","62214"
"23.07.2015 16:45 - 23.07.2015 17:00","62191","61918"
"23.07.2015 17:00 - 23.07.2015 17:15","61991","61704"
"23.07.2015 17:15 - 23.07.2015 17:30","61933","61739"
"23.07.2015 17:30 - 23.07.2015 17:45","61927","61672"
"23.07.2015 17:45 - 23.07.2015 18:00","62046","61479"
"23.07.2015 18:00 - 23.07.2015 18:15","61335","60963"
"23.07.2015 18:15 - 23.07.2015 18:30","61029","60694"
"23.07.2015 18:30 - 23.07.2015 18:45","61392","60582"
"23.07.2015 18:45 - 23.07.2015 19:00","61093","60869"
"23.07.2015 19:00 - 23.07.2015 19:15","61211","60705"
"23.07.2015 19:15 - 23.07.2015 19:30","60714","60156"
"23.07.2015 19:30 - 23.07.2015 19:45","60120","59628"
"23.07.2015 19:45 - 23.07.2015 20:00","59430","58941"
"23.07.2015 20:00 - 23.07.2015 20:15","58619","58066"
"23.07.2015 20:15 - 23.07.2015 20:30","57682","57294"
"23.07.2015 20:30 - 23.07.2015 20:45","56810","56493"
"23.07.2015 20:45 - 23.07.2015 21:00","56561","56184"
"23.07.2015 21:00 - 23.07.2015 21:15","56030","55700"
"23.07.2015 21:15 - 23.07.2015 21:30","55752","55419"
"23.07.2015 21:30 - 23.07.2015 21:45","55645","55182"
"23.07.2015 21:45 - 23.07.2015 22:00","55192","55177"
"23.07.2015 22:00 - 23.07.2015 22:15","54596","54979"
"23.07.2015 22:15 - 23.07.2015 22:30","53827","53999"
"23.07.2015 22:30 - 23.07.2015 22:45","52734","52851"
"23.07.2015 22:45 - 23.07.2015 23:00","51614","51696"
"23.07.2015 23:00 - 23.07.2015 23:15","50390","50565"
"23.07.2015 23:15 - 23.07.2015 23:30","49207","49367"
"23.07.2015 23:30 - 23.07.2015 23:45","48434","48434"
"23.07.2015 23:45 - 24.07.2015 00:00","47779","47576"
"24.07.2015 00:00 - 24.07.2015 00:15","46208","46629"
"24.07.2015 00:15 - 24.07.2015 00:30","45431","45967"
"24.07.2015 00:30 - 24.07.2015 00:45","44939","45380"
"24.07.2015 00:45 - 24.07.2015 01:00","44521","44995"
"24.07.2015 01:00 - 24.07.2015 01:15","43607","44290"
"24.07.2015 01:15 - 24.07.2015 01:30","43247","43959"
"24.07.2015 01:30 - 24.07.2015 01:45","42851","43408"
"24.07.2015 01:45 - 24.07.2015 02:00","42568","43132"
"24.07.2015 02:00 - 24.07.2015 02:15","42401","42653"
"24.07.2015 02:15 - 24.07.2015 02:30","42211","42508"
"24.07.2015 02:30 - 24.07.2015 02:45","42201","42614"
"24.07.2015 02:45 - 24.07.2015 03:00","42019","42582"
"24.07.2015 03:00 - 24.07.2015 03:15","42208","42487"
"24.07.2015 03:15 - 24.07.2015 03:30","42394","42550"
"24.07.2015 03:30 - 24.07.2015 03:45","42643","42739"
"24.07.2015 03:45 - 24.07.2015 04:00","42408","42703"
"24.07.2015 04:00 - 24.07.2015 04:15","42814","43043"
"24.07.2015 04:15 - 24.07.2015 04:30","43116","43323"
"24.07.2015 04:30 - 24.07.2015 04:45","43226","43632"
"24.07.2015 04:45 - 24.07.2015 05:00","43840","44187"
